Title	Issue	Month	PDF
MT News International, Issue No. 13	13	February	http://www.mt-archive.info/90/MTNI-13.pdf
MT News International, Issue No. 14	14	June	http://www.mt-archive.info/90/MTNI-14.pdf
MT News International, Issue No. 15	15	October	http://www.mt-archive.info/90/MTNI-15.pdf
