Title	Issue	Month	PDF
MT News International, Issue No. 10	10	January	http://www.mt-archive.info/90/MTNI-10.pdf
MT News International, Issue No. 11	11	May	http://www.mt-archive.info/90/MTNI-11.pdf
MT News International, Issue No. 12	12	October	http://www.mt-archive.info/90/MTNI-12.pdf
