Title	Issue	Month	PDF
MT News International, Issue No. 4	4	January	http://www.mt-archive.info/90/MTNI-4.pdf
MT News International, Issue No. 5	5	May	http://www.mt-archive.info/90/MTNI-5.pdf
MT News International, Issue No. 6	6	May	http://www.mt-archive.info/90/MTNI-6.pdf
