Title	Issue	Month	PDF
MT News International, Issue No. 1	1	January	http://www.mt-archive.info/90/MTNI-1.pdf
MT News International, Issue No. 2	2	May	http://www.mt-archive.info/90/MTNI-2.pdf
MT News International, Issue No. 3	3	September	http://www.mt-archive.info/90/MTNI-3.pdf
