Title	Issue	Month	PDF
MT News International, Issue No. 7	7	January	http://www.mt-archive.info/90/MTNI-7.pdf
MT News International, Issue No. 8	8	May	http://www.mt-archive.info/90/MTNI-8.pdf
MT News International, Issue No. 9	9	September	http://www.mt-archive.info/90/MTNI-9.pdf
