Title	Authors	Pdf	Presentation	Volume_Name	Notes
Overview of the IWSLT 2009 evaluation campaign	Michael Paul	http://www.mt-archive.info/05/IWSLT-2009-Paul.pdf	http://www.mt-archive.info/05/IWSLT-2009-Paul-ppt.pdf		
AppTek Turkish-English machine translation system description for IWSLT 2009	Selçuk Köprü	http://www.mt-archive.info/05/IWSLT-2009-Kopru.pdf	http://www.mt-archive.info/05/IWSLT-2009-Paul-ppt.pdf		
Barcelona Media SMT system description for the IWSLT 2009	Marta R.Costa-jussà and Rafael E.Banchs	http://www.mt-archive.info/05/IWSLT-2009-Costa-jussa.pdf	http://www.mt-archive.info/05/IWSLT-2009-Paul-ppt.pdf		
Low-resource machine translation using MaTrEx	Yanjun Ma and Tsuyoshi Okita and Özlem Çetinoğlu and Jinhua Du and Andy Way	http://www.mt-archive.info/05/IWSLT-2009-Ma.pdf	http://www.mt-archive.info/05/IWSLT-2009-Ma-ppt.pdf		
Nicola Bertoldi, Arianna Bisazza, Mauro Cettolo, Germán Sanchis-Trilles, Marcello Federico		http://www.mt-archive.info/05/IWSLT-2009-Bertoldi.pdf	http://www.mt-archive.info/05/IWSLT-2009-Ma-ppt.pdf		
The GREYC translation memory for the IWSLT 2009 evaluation campaign	Yves Lepage and Adrien Lardilleux and Julien Gosme	http://www.mt-archive.info/05/IWSLT-2009-Lepage.pdf	http://www.mt-archive.info/05/IWSLT-2009-Lepage-ppt.pdf		
I2R’s machine translation system for IWSLT 2009	Xiangyu Duan and Deyi Xiong and Hui Zhang and Min Zhang and Haizhou Li	http://www.mt-archive.info/05/IWSLT-2009-Duan.pdf	http://www.mt-archive.info/05/IWSLT-2009-Lepage-ppt.pdf		
The ICT statistical machine translation system for the IWSLT 2009	Haitao Mi and Yang Li and Tian Xia and Xinyan Xiao and Yang Feng and Jun Xie and Hao Xiong and Zhaopeng Tu and Daqi Zheng and Yanjuan Lu and Qun Liu	http://www.mt-archive.info/05/IWSLT-2009-Mi.pdf	http://www.mt-archive.info/05/IWSLT-2009-Lepage-ppt.pdf		
LIG approach for IWSLT09	Fethi Bougares and Laurent Besacier and Hervé Blanchon	http://www.mt-archive.info/05/IWSLT-2009-Bougares.pdf	http://www.mt-archive.info/05/IWSLT-2009-Bougares-ppt.pdf		
LIUM’s statistical machine translation system for IWSLT 2009	Holger Schwenk and Loïc Barrault and Yannick Estève and Patrik Lambert	http://www.mt-archive.info/05/IWSLT-2009-Schwenk.pdf	http://www.mt-archive.info/05/IWSLT-2009-Bougares-ppt.pdf		
The MIT-LL/AFRL IWSLT-2009 MT system	Wade Shen and Brian Delaney and A.Ryan Aminzadeh and Tim Anderson and Ray Slyh	http://www.mt-archive.info/05/IWSLT-2009-Shen.pdf	http://www.mt-archive.info/05/IWSLT-2009-Shen-ppt.pdf		
Two methods for stabilizing MERT	Masao Utiyama and Hirofumi Yamamoto and Eiichiro Sumita	http://www.mt-archive.info/05/IWSLT-2009-Utiyama.pdf	http://www.mt-archive.info/05/IWSLT-2009-Utiyama-ppt.pdf		
The CASIA statistical machine translation system for IWSLT 2009	Maoxi Li and Jiajun Zhang and Yu Zhou and Chengqing Zong	http://www.mt-archive.info/05/IWSLT-2009-Li.pdf	http://www.mt-archive.info/05/IWSLT-2009-Li-ppt.pdf		
The NUS statistical machine translation system for IWSLT 2009	Preslav Nakov and Chang Liu and Wei Lu and Hwee Tou Ng	http://www.mt-archive.info/05/IWSLT-2009-Nakov.pdf	http://www.mt-archive.info/05/IWSLT-2009-Nakov-ppt.pdf		
The UOT system	Xianchao Wu and Takuya Matsuzaki and Naoaki Okazaki and Yusuke Miyao and Jun’ichi Tsujii	http://www.mt-archive.info/05/IWSLT-2009-Wu.pdf	http://www.mt-archive.info/05/IWSLT-2009-Nakov-ppt.pdf		
Statistical machine translation adding pattern-based machine translation in Chinese-English translation	Jin’ichi Murakami and Masato Tokuhisa and Satoru Ikehara	http://www.mt-archive.info/05/IWSLT-2009-Murakami.pdf	http://www.mt-archive.info/05/IWSLT-2009-Murakami-ppt.pdf		
The TÜBİTAK-UEKAE statistical machine translation system for IWSLT 2009	Coşkun Mermer and Hamza Kaya and Mehmet Uğur Doğan	http://www.mt-archive.info/05/IWSLT-2009-Mermer.pdf	http://www.mt-archive.info/05/IWSLT-2009-Murakami-ppt.pdf		
UPV translation system for IWSLT 2009	Guillem Gascó and Joan Andreu Sánchez	http://www.mt-archive.info/05/IWSLT-2009-Gasco.pdf	http://www.mt-archive.info/05/IWSLT-2009-Gasco-ppt.pdf		
The University of Washington machine translation system for IWSLT 2009	Mei Yang and Amittai Axelrod and Kevin Duh and Katrin Kirchhoff	http://www.mt-archive.info/05/IWSLT-2009-Yang.pdf	http://www.mt-archive.info/05/IWSLT-2009-Gasco-ppt.pdf		
Morphological pre-processing for Turkish to English statistical machine translation	Arianna Bisazza and Marcello Federico	http://www.mt-archive.info/05/IWSLT-2009-Bisazza.pdf	http://www.mt-archive.info/05/IWSLT-2009-Bisazza-ppt.pdf		
Enriching SCFG rules directly from efficient bilingual chart parsing	Martin Čmejrek and Bowen Zhou and Bing Xiang	http://www.mt-archive.info/05/IWSLT-2009-Cmejrek.pdf	http://www.mt-archive.info/05/IWSLT-2009-Cmejrek-ppt.pdf		
Structural support vector machines for log-linear approach in statistical machine translation	Katsuhiko Hayashi and Taro Watanabe and Hajime Tsukada and Hideki Isozaki	http://www.mt-archive.info/05/IWSLT-2009-Hayashi.pdf	http://www.mt-archive.info/05/IWSLT-2009-Hayashi-ppt.pdf		
A unified framework for phrase-based, hierarchical, and syntax-based statistical machine translation	Hieu Hoang and Philipp Koehn and Adam Lopez	http://www.mt-archive.info/05/IWSLT-2009-Hoang.pdf	http://www.mt-archive.info/05/IWSLT-2009-Hoang-ppt.pdf		
Online language model adaptation for spoken dialog translation	Germán Sanchis-Trilles and Mauro Cettolo and Nicola Bertoldi and Marcello Federico	http://www.mt-archive.info/05/IWSLT-2009-Sanchis.pdf	http://www.mt-archive.info/05/IWSLT-2009-Sanchis-ppt.pdf		
Network-based speech-to-speech translation	Chiori Hori and Sakriani Sakti and Michael Paul and Noriyuki Kimura and Yutaka Ashikari and Ryosuke Isotani and Eiichiro Sumita and Satoshi Nakamura	http://www.mt-archive.info/05/IWSLT-2009-Hori.pdf	http://www.mt-archive.info/05/IWSLT-2009-Hori-ppt.pdf		
Human translation and machine translation	Philipp Koehn	http://www.mt-archive.info/05/IWSLT-2009-invited.pdf	http://www.mt-archive.info/05/IWSLT-2009-Koehn-ppt.pdf		abstract, full text not available
Two-way speech-to-speech translation for communicating across language barriers	Premkumar Natarajan	http://www.mt-archive.info/05/IWSLT-2009-invited.pdf	http://www.mt-archive.info/05/IWSLT-2009-Koehn-ppt.pdf		abstract, full text not available
Monolingual knowledge acquisition and a multilingual information environment	Kentaro Torisawa	http://www.mt-archive.info/05/IWSLT-2009-invited.pdf	http://www.mt-archive.info/05/IWSLT-2009-Torisawa-ppt.pdf		abstract, full text not available
