Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
An MT system embedding pattern knowledge	Stella Markantonatou and Sokratis Sofianopoulos and Vassiliki Spilioti and Marina Vassiliou and Olga Yannoutsou	http://www.mt-archive.info/05/METIS-2007-Markantonatou.pdf				
Dealing with bilingual divergences in MT using target language N-gram models	Maite Melero and Antoni Oliver and Toni Badia and Teresa Suñol	http://www.mt-archive.info/05/METIS-2007-Melero.pdf				
The effect of a few rules on a data-driven MT system	Vincent Vandeghinste and Peter Dirix and Ineke Schuurman	http://www.mt-archive.info/05/METIS-2007-Vandeghinste.pdf				
A modular architecture for separating hypothesis formation from hypothesis evaluation in data-driven machine translation	Michael Carl and Paul Schmidt	http://www.mt-archive.info/05/METIS-2007-Carl.pdf				
The inner works of an automatic rule refiner for machine translation	Ariadna Font Llitjós and William A. Ridmann	http://www.mt-archive.info/05/METIS-2007-FontLlitjos.pdf				
A phrase-based hidden Markov model approach to machine translation	Jesús Andrés Ferrer and Alfons Juan Ciscar	http://www.mt-archive.info/05/METIS-2007-Andres-Ferrer.pdf				
A memory-based classification approach to marker-based EBMT	Antal van den Bosch and Nicolas Stroppa and Andy Way	http://www.mt-archive.info/05/METIS-2007-VandenBosch.pdf				
Integrating corpus-based and rule-based approaches in an open-source machine translation system	Felipe Sánchez-Martínez and Juan Antonio Pérez-Ortiz and Mikel L. Forcada	http://www.mt-archive.info/05/METIS-2007-Sanchez-Martinez.pdf				
A cheap MT evaluation method based on the notion of machine translationness	Joaquim Moré and Salvador Climent	http://www.mt-archive.info/05/METIS-2007-More-Lopez.pdf				
Latest developments in (S)MT. MT Wars II: the empire (linguistics) strikes back	Harold Somers	http://www.mt-archive.info/05/METIS-2007-Somers.pdf				abstract
Analysis of translational correspondence in view of sub-sentential alignment	Lieve Macken	http://www.mt-archive.info/05/METIS-2007-Macken.pdf				
