Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Rule-Based Translation as Constraint Resolution	Louisa Sadler	http://www.mt-archive.info/90/FGNLP-1992-Sadler.pdf			1	
Utility of Massively Parallel Computing Platform in Natural Language Processing	Hiroaki Kitano	http://www.mt-archive.info/90/FGNLP-1992-Kitano.pdf			22	
The Workstation Substrate of the Pangloss Project	Sergei Nirenburg	http://www.mt-archive.info/90/FGNLP-1992-Nirenburg.pdf			37	
Linguistic Knowledge Acquisition from Corpora	Jun-ichi Tsujii and Sofia Ananiadou and Iris Arad and Satoshi Sekine	http://www.mt-archive.info/90/FGNLP-1992-Tsujii.pdf			61	
Some Rationales and Methodologies for Example-based Approach	Makoto Nagao	http://www.mt-archive.info/90/FGNLP-1992-Nagao.pdf			82	
Transfer-Driven Machine Translation	Osamu Furuse and Hitoshi Iida	http://www.mt-archive.info/90/FGNLP-1992-Furuse.pdf			95	
Tagging an Unfamiliar Text With Minimal Human Supervision	Eric Brill and Mitch Marcus	http://www.mt-archive.info/90/FGNLP-1992-Brill.pdf			112	
List of participants		http://www.mt-archive.info/FGNLP-1992-participants.pdf				
