Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
An introduction to MT evaluation	Florence Reeder		http://www.mt-archive.info/00/MTEval-2001-Reeder-1.pdf			
Jumping off points: ideas of possible tasks	Florence Reeder		http://www.mt-archive.info/00/MTEval-2001-Reeder-2.pdf			
Basic rules of engagement: desired output of workshop teams	Florence Reeder		http://www.mt-archive.info/00/MTEval-2001-Reeder-3.pdf			
NAACL Workshop on MTE, June 3, 2001	Florence Reeder		http://www.mt-archive.info/00/MTEval-2001-Reeder-4.pdf			
Fightin’ words: points for discussion	Florence Reeder		http://www.mt-archive.info/00/MTEval-2001-Reeder-5.pdf			
Standards work related to evaluation .	Maghi King	http://www.mt-archive.info/00/MTEval-2001-King.pdf				
MT evaluation: the DARPA measures and MT proficiency scale	John White		http://www.mt-archive.info/00/MTEval-2001-White-1.pdf			
Formal framework for NLP evaluation .	Andrei Popescu-Belis					
Tentative conclusion of the workshop .	Andrei Popescu-Belis					
Evaluating an MT French/English system.	Widad Mustafa El Hadi and Ismaël Timimi and Marianne Dabbadie		http://www.mt-archive.info/00/MTEval-2001-Mustafa.pdf			
Comparative evaluation of the linguistic output of MT systems for translation and non-translation purposes.	Marie-Jo Astre and Anna Civil and Francine Braun-Chen and Marianne Starlander and Elia Yuste		http://www.mt-archive.info/00/MTEval-2001-Astre.pdf			
Quantitative evaluation of machine translation systems: sentence level.	Palmira Marrafa and António Ribeiro		http://www.mt-archive.info/00/MTEval-2001-Marrafa.pdf			
Predicting MT fluency from IE precision and recall.	Tony Hartley and Martin Rajman		http://www.mt-archive.info/00/MTEval-2001-Hartley.pdf			
Evaluating an MT system without knowledge of the source language.	Donna M.Gates and Josemina Magdalen and Keith Miller and Nancy L.Underwood		http://www.mt-archive.info/00/MTEval-2001-Gates.pdf			
Evaluating the operational benefit of using machine translation output as translation memory input in the translation process of software documentation.	Christine Bruckner and Mirko Plitt	http://www.mt-archive.info/00/MTEval-2001-Bruckner.pdf				
Correlation of translation phenomena and fidelity measures.	John White and Monika Forner		http://www.mt-archive.info/00/MTEval-2001-White-2.pdf			
