Title	Authors	Pdf
Introduction	"Maegaard, Bente"	http://www.mt-archive.info/05/EAMT-2005-Maegaard.pdf
"The Language Translation Interface"	"Estival, Dominique"	http://www.mt-archive.info/05/EAMT-2005-Estival.pdf
"Codified close translation as a standard for MT"	"Ahrenberg, Lars"	http://www.mt-archive.info/05/EAMT-2005-Ahrenberg.pdf
"Machine translation for Catalan↔Spanish: the real case for productive MT"	"Alberto Alonso, Juan"	http://www.mt-archive.info/05/EAMT-2005-Alonso.pdf
"Building a conversation corpus by text derivation from ""germ dialogs"""	"Asanoma, Naoki and Yamada, Setsuo and Furuse, Osamu and Oku, and Masahiro"	http://www.mt-archive.info/05/EAMT-2005-Asanoma.pdf
"Comparison of generation strategies for interactive machine translation"	"Bender, Oliver and Hasan, Saša and Vilar, David and Zens, Richard and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Bender.pdf
"Are we making ourselves clear? Terminology management and machine translation at Volkswagen"	"Bernardi, Ulrike and Bocsak, Andras and Porsiel, Jörg"	http://www.mt-archive.info/05/EAMT-2005-Bernardi.pdf
"A generic multi-lingual open source platform for limited-domain medical speech translation"	"Bouillon, Pierrette and Rayner, Manny and Chatzichrisafis, Nikos and Hockey, Beth Ann and Santaholma, Marianne and Starlander, Marianne and Nakao, Yukie and Kanzaki, Kyoko and Isahara, Hitoshi"	http://www.mt-archive.info/05/EAMT-2005-Bouillon.pdf
"A compact data structure for searchable translation memories"	"Callison-Burch, Chris and Bannard, Colin and Schroeder, Josh"	http://www.mt-archive.info/05/EAMT-2005-Callison-Burch.pdf
"Using template-grammars for shake & bake paraphrasing"	"Carl, Michael and Rascu, Ecaterina and Schmidt, Paul"	http://www.mt-archive.info/05/EAMT-2005-Carl.pdf
"Prague Czech-English dependency treebank: resource for structure-based MT"	"Čmejrek, Martin and Cuřín, Jan and Hajič, Jan and Havelka, Jiří"	http://www.mt-archive.info/05/EAMT-2005-Cmejrek.pdf
"An open-source shallow-transfer machine translation engine for the Romance languages of Spain"	"Corbi-Bellot, Antonio M. And Forcada, Mikel L. And Ortíz-Rojas, Sergio and Pérez-Ortiz, Juan Antonio and Ramírez-Sánchez, Gema and Sánchez-Martínez, Felipe and Alegria, Iñaki and Mayor, Aingeru and Sarasola, Kepa"	http://www.mt-archive.info/05/EAMT-2005-Corbi-Bellot.pdf
"A framework for interactive and automatic refinement of transfer-based machine translation"	"Llitjós, Ariadna Font and Carbonell, Jaime G. And Lavie, Alon"	http://www.mt-archive.info/05/EAMT-2005-Font-Llitjos.pdf
"Extraction of translation equivalents from parallel corpora using sense-sensitive contexts"	"Gamallo Otero, Pablo"	http://www.mt-archive.info/05/EAMT-2005-Gamallo-Otero.pdf
"Sentence-level MT evaluation without reference translations: beyond language modeling"	"Gamon, Michael and Aue, Anthony and Smets, Martine"	http://www.mt-archive.info/05/EAMT-2005-Gamon.pdf
"Target language preposition selection – an experiment with transformation based learning and aligned bilingual data"	"Gustavii, Ebba"	http://www.mt-archive.info/05/EAMT-2005-Gustavii.pdf
"Clustered language models based on regular expressions for SMT"	"Hasan, Saša and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Hasan.pdf
"Augmenting a statistical translation system with a translation memory"	"Hewavitharana, Sanjika and Vogel, Stephan and Waibel, Alex"	http://www.mt-archive.info/05/EAMT-2005-Hewavitharana.pdf
"Adaptation of the translation model for statistical machine translation based on information retrieval"	"Hildebrand, Almut Silja and Eck, Matthias and Vogel, Stephan and Waibel, Alex"	http://www.mt-archive.info/05/EAMT-2005-Hildebrand.pdf
"Multi-engine machine translation guided by explicit word matching"	"Jayaraman, Shyamsundar and Lavie, Alon"	http://www.mt-archive.info/05/EAMT-2005-Jayaraman.pdf
"Symmetric probabilistic alignment for example-based translation"	"Kim, Jae Dong and Brown, Ralf D. and Jansen, Peter J. and Carbonell, and Jaime G."	http://www.mt-archive.info/05/EAMT-2005-Kim.pdf
"An experiment in MT post-editing by a class of intermediate/advanced French majors"	"Kliffer, Michael"	http://www.mt-archive.info/05/EAMT-2005-Kliffer.pdf
"From the real world to real words: the METEO case"	"Langlais, Philippe and Leplus, Thomas and Gandrabur, Simona and Lapalm, and Guy"	http://www.mt-archive.info/05/EAMT-2005-Langlais.pdf
"The MT developer/provider and the global corporation"	"Lewis, Terence and Meier, Rudolf M."	http://www.mt-archive.info/05/EAMT-2005-Lewis.pdf
"Efficient statistical machine translation with constrained reordering"	"Matusov, Evgeny and Kanthak, Stephan and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Matusov.pdf
"TransBooster: boosting the performance of wide-coverage machine translation systems"	"Mellebeek, Bart and Khasin, Anna and Van Genabith, Josef and Way, Andy"	http://www.mt-archive.info/05/EAMT-2005-Mellebeek.pdf
"Holistic regression testing for high-quality MT: some methodological and technological reflections"	"Oepen, Stephan and Dyvik, Helge and Flickinger, Dan and Lønning, Jan Tore and Meurer, Paul and Rosén, Victoria"	http://www.mt-archive.info/05/EAMT-2005-Oepen.pdf
