Title	Authors	Pdf
MT training for business people and translators	Miyazawa, Orie	http://www.mt-archive.info/00/EAMT-2002-Miyazawa.pdf
Teaching MT - an Indian pespective	Bandyopadhyay, Sivaji	http://www.mt-archive.info/00/EAMT-2002-Bandyopadhyay.pdf
MT and the Swiss language service providers: an analysis and training perspective	Yuste, Elia	http://www.mt-archive.info/00/EAMT-2002-Yuste.pdf
Teaching MT/CAT tools in Greece: the state of the art	Kalantzi, Dimitra	http://www.mt-archive.info/00/EAMT-2002-Kalantzi.pdf
Teaching contrastive linguistics for MT	Bennett, Paul	http://www.mt-archive.info/00/EAMT-2002-Bennett.pdf
Testing students' understanding of complex transfer	Way, Andy	http://www.mt-archive.info/00/EAMT-2002-Way.pdf
Teaching MT with Xepisteme	Amores, J.	http://www.mt-archive.info/00/EAMT-2002-Amores.pdf
"Architectures of ""toy"" systems for teaching machine translation"	Hahn, Walther v. and Vertan, Cristina	http://www.mt-archive.info/00/EAMT-2002-Hahn.pdf
An MT learning environment for computational linguistics students	Sheremetyeva, Svetlana	http://www.mt-archive.info/00/EAMT-2002-Sheremetyeva.pdf
Teaching MT through pre-editing: three case studies	Shei, Chi-Chiang	http://www.mt-archive.info/00/EAMT-2002-Shei.pdf
Teaching post-editing: a proposal for course content	O'Brien, Sharon	http://www.mt-archive.info/00/EAMT-2002-OBrien.pdf
Controlled translation: a new teaching scenario tailor-made for the translation industry	Torrejón, Enrique and Rico, Celia	http://www.mt-archive.info/00/EAMT-2002-Torrejon.pdf
Freelance translators and machine translation: an investigation of perceptions, uptake, experience and training needs	Fulford, Heather	http://www.mt-archive.info/00/EAMT-2002-Fulford.pdf
Combining MT and TM on a technology-oriented translation masters: aims and perspectives	Shuttleworth, Mark	http://www.mt-archive.info/00/EAMT-2002-Shuttleworth.pdf
Teaching machine translation evaluation by assessed project work	Belam, Judith	http://www.mt-archive.info/00/EAMT-2002-Belam.pdf
Explaining real MT to translators: between compositional semantics and word-for-word	Forcada, Mikel L.	http://www.mt-archive.info/00/EAMT-2002-Forcada.pdf
Using free on-line services in MT training	Gaspari, Federico	http://www.mt-archive.info/00/EAMT-2002-Gaspari.pdf
Teaching commercial MT to translators: bridging the gap between human and machine	Kübler, Natalie	http://www.mt-archive.info/00/EAMT-2002-Kubler.pdf
Machine Translation Review, issue 13		http://www.mt-archive.info/00/MTR-13.pdf
