Title	Authors	Pdf	Presentation	Volume_Name
"Case study: implementing MT for the translation of pre-sales marketing and post-sales software deployment documentation at Mycom International"	"Jeffrey Allen"			
"A speech-to-speech translation system for Catalan, Spanish, and English"	"Victoria Arranz and Elisabet Comelles and David Farwell and Climent Nadeu and Jaume Padrell and Albert Febrer and Dorcas Alexander and Kay Peterson"			
"Multi-Align: combining linguistic and statistical techniques to improve alignments for adaptable MT"	"Necip Fazil Ayan and Bonnie J. Dorr and Nizar Habash"			
"A modified Burrows-Wheeler transform for highly scalable example-based translation"	"Ralf D. Brown"			
"Designing a controlled language for the machine translation of medical protocols: the case of English to Chinese"	"Sylviane Cardey and Peter Greenfield and Xiahong Wu"			
"Normalizing German and English inflectional morphology to improve statistical word alignment"	"Simon Corston-Oliver and Michael Gamon"			
"System description: speech-to-speech translation system"	"Mike Dillinger and Mark Seligman"			
"A fluency error categorization scheme to guide automated machine translation evaluation"	"Debbie Elliott and Anthony Hartley and Eric Atwell"			
"Online MT services and real users' needs: an empirical usability evaluation"	"Federico Gaspari"			
"Counting, measuring, ordering: translation problems and solutions"	"Stephen Helmreich and David Farwell"			
"Feedback from the field: the challenge of users in motion"	"L. Hernandez and J. Turner and M. Holland"			
"The Georgetown-IBM experiment demonstrated in January 1954"	"W. John Hutchins"			
"Pharaoh: a beam search decoder for phrase-based statistical machine translation models"	"Philipp Koen"			
"The PARS family of machine translation systems for Dutch system description/ demonstration"	"Edward A. Kool and Michael S. Blekhman and Andrei Kursin and Alla Rakova"			
"Rapid MT experience in an LCTL (Pashto)"	"Craig Kopris"			
"The significance of recall in automatic metrics for MT evaluation"	"Alon Lavie and Kenji Sagae and Shyamsundar Jayaraman"			
"Alignment of bilingual named entities in parallel corpora using statistical model"	"Chun-Jen Lee and Jason S. Chang and Thomas C. Chuang"			
"Weather report translation using a translation memory"	"Thomas Leplus and Philippe Langlais and Guy Lapalme"			
"Keyword translation from English to Chinese for multilingual QA"	"Frank Lin and Teruko Mitamura"			
"Extraction of name and transliteration in monolingual and parallel corpora"	"Tracy Lin and Jian-Cheng Wu and Jason S. Chang"			
"Error analysis of two types of grammar for the purpose of automatic rule refinement"	"Ariadna Font Llitjós and Katharina Probst and Jaime Carbonell"			
"The contribution of end-users to the TransType2 project"	"Elliott Macklovitch"			
"An experiment on Japanese-Uighur machine translation and its evaluation"	"Muhtar Mahsut and Yasuhiro Ogawa and Kazue Sugino and Katsuhiko Toyama and Yasuyoshi Inagaki"			
"A structurally diverse minimal corpus for eliciting structural mappings between languages"	"Katharina Probst and Alon Lavie"			
"Investigation of intelligibility judgments"	"Florence Reeder"			
"Interlingual annotation for MT development"	"Florence Reeder and Bonnie Dorr and David Farwell and Nizar Habash and Stephen Helmreich and Eduard Hovy and Lori Levin and Teruko Mitamura and Keith Miller and Owen Rambow and Advaith Siddharthan"			
"Machine translation of online product support articles using data-driven MT system"	"Stephen D. Richardson"			
"Maintenance issues for machine translation systems"	"Nestor Rychtyckyj"			
"Improving domain-specific word alignment with a general bilingual corpus"	"Hua Wu and Haifeng Wang"			
"A super-function based Japanese-Chinese machine translation system for business users"	"Xin Zhao and Fuji Ren and Stefan Voß"			
"Mastering machine translation (MT) output"	"Jeff Allen"	http://www.mt-archive.info/00/AMTA-2004-Allen-tutorial.pdf		Tutorials
"Machine translation in practice at PAHO"	"Julia Aymerich"	http://www.mt-archive.info/00/AMTA-2004-Aymerich-tutorial.pdf		Tutorials
"Introduction to statistical machine translation"	"Philipp Koehn and Kevin Knight"	http://www.mt-archive.info/00/AMTA-2004-Koehn-tutorial.pdf		Tutorials
