Title	Authors	Pdf	Presentation	Volume_Name	Pages	pages in pdf	Notes
Frontmatter	Frontmatter				I-V	1	
An Introduction to MT Evaluation	Eduard Hovy and Maghi King and Andrei Popescu-Belis				1	7	
A Hands-On Study of the Reliability and Coherence of Evaluation Metrics	Marianne Dabbadie and Anthony Hartley and Margaret King and Keith J. Miller and Widad Mustafa El Hadi and Andrei Popescu-Belis and Florence Reeder and Michelle Vanni				8	14	
Towards a Corpus of Corrected Human Translations	Andrei Popescu-Belis and Maghi King and Houcine Benantar				17	23	
