Title	Authors	Pdf	Presentation	Volume_Name	Notes
Invited Talk: Ontologies for Crosslingual Applications	Invited Talk	http://www.mt-archive.info/05/MTS-2005-Uszkoreit.pdf			Semantic Web technologies for machine translation
Cross-lingual Retrieval in Semantic Web	Cristina Vertan	http://www.mt-archive.info/05/MTS-2005-Vertan.pdf			Semantic Web technologies for machine translation
Challenges for the Multilingual Semantic Web	Walther v. Hahn and Cristina Vertan	http://www.mt-archive.info/05/MTS-2005-Hahn-2.pdf			Semantic Web technologies for machine translation
Lexical Sets and Text-Processing	Christian Champendal and Thierry Pitarque	http://www.mt-archive.info/05/MTS-2005-Champendal.pdf			Semantic Web technologies for machine translation
A First Step in Integrating an EBMT into the Semantic Web	Natalia Elita and Antonina Birladeanu	http://www.mt-archive.info/05/MTS-2005-Elita.pdf			Semantic Web technologies for machine translation
