Title	Authors	Pdf	Presentation	Volume_Name	Pages	pages in pdf	Notes
Dependency-based Statistical MT	Qun Liu and Liangyou Li	https://amtaweb.org/wp-content/uploads/2016/10/Dependency_SMT_tutorial_Liangyou_wide-cover.pdf					
Computer Aided Translation: Advances and Challenges	Philipp Koehn	https://amtaweb.org/wp-content/uploads/2016/10/Computer-Aided_Tutorial_Koehn_wide-cover.pdf					
Advances in Neural Machine Translation	Rico Sennrich and Alexandra Birch and Marcin Junczys-Dowmunt	https://amtaweb.org/wp-content/uploads/2016/11/NMT_Tutorial_Sennrich_wide-cover-updated.pdf					
ModernMT	Marcello Federico and Marco Trombetti	https://amtaweb.org/wp-content/uploads/2016/11/MMT_Tutorial_FedericoTrombetti_wide-cover.pdf					
