Title	Authors	Pdf	Presentation	Notes
A seal of approval for MT systems	Eduard Hovy			Panel descriptions
The forgotten majority	Laurie Gerber			Panel descriptions
Breaking the quality ceiling	David Farwell			Panel descriptions
