Title	Authors	Pdf	Presentation	Volume_Name
Integrating online and active learning in a computer-assisted translation workbench	Vicent Alabau and Jesús González-Rubio and Daniel Ortiz-Martínez and Germán Sanchis-Trilles and Francisco Casacuberta and Mercedes García-Martínez and Bartolomé Mesa-Lao and Dan Cheung Petersen and Barbara Dragsted and Michael Carl	http://www.mt-archive.info/10/AMTA-2014-W1-Alabau.pdf		
Towards a combination of online and multitask learning for MT quality estimation: a preliminary study	José G.C. de Souza and Marco Turchi and Matteo Negri	http://www.mt-archive.info/10/AMTA-2014-W1-deSouza.pdf		
Dynamic phrase tables for machine translation in an interactive post-editing scenario	Ulrich Germann	http://www.mt-archive.info/10/AMTA-2014-W1-Germann.pdf		
Optimized MT online learning in computer assisted translation	Prashant Mathur and Mauro Cettolo	http://www.mt-archive.info/10/AMTA-2014-W1-Mathur.pdf		
Behind the scenes in an interactive speech translation system	Mark Seligman and Mike Dillinger	http://www.mt-archive.info/10/AMTA-2014-W1-Seligman.pdf		
Predicting post-editor profiles from the translation process	Karan Singla and David Orrego-Carmona and Ashleigh Rhea Gonzales and Michael Carl and Srinivas Bangalore	http://www.mt-archive.info/10/AMTA-2014-W1-Singla.pdf		
