Title	Authors	Pdf	Presentation	Notes
MT evaluation	White, John S.			Tutorial descriptions
Survey of methodological approaches to MT	Harold Somers			Tutorial descriptions
Survey of (second) language learning technologies	Patricia O'Neill-Brown			Tutorial descriptions
Ontological semantics for knowledge-based MT	Sergei Nirenburg			Tutorial descriptions
Cross language information retrieval	Gregory Grefenstette			Tutorial descriptions
Speech to speech machine translation	Monika Woszczyna			Tutorial descriptions
Multilingual text summarization	Eduard Hovy and Danel Marcu			Tutorial descriptions
