Title	Authors	Pdf	Presentation	Volume_Name	Notes
	M. Nagao	http://www.mt-archive.info/70/Nagao-1989-TOC.htm			
Opening Address	 M. Nagao	http://www.mt-archive.info/70/MTS-1987-Nagao.pdf			
Greetings	 Yukio Honda 	http://www.mt-archive.info/70/Nagao-1989-Honda.pdf			
	K. Fuchi 	http://www.mt-archive.info/70/MTS-1987-Fuchi.pdf			
Prospects in Machine Translation	 W. J. Hutchins	http://www.mt-archive.info/70/MTS-1987-Hutchins.pdf			
Commercial Machine Translation Systems	H. Tanaka	http://www.mt-archive.info/70/Nagao-1989-Tanaka-1.pdf			
 SYSTRAN	 J. P. Ryan 	http://www.mt-archive.info/70/MTS-1987-Ryan.pdf			
 METAL	 T. Schneider 	http://www.mt-archive.info/70/MTS-1987-Schneider.pdf			
 DLT	 T. Witkam 	http://www.mt-archive.info/70/MTS-1987-Witkam.pdf			
 ATLAS	 H. Uchida 	http://www.mt-archive.info/70/MTS-1987-Uchida-2.pdf			
 HICATS	 H. Kaji (Hitachi0	http://www.mt-archive.info/70/MTS-1987-Kaji.pdf			
 TAURAS	 S. Amano 	http://www.mt-archive.info/70/MTS-1987-Amano.pdf			
 PIVOT	 K. Muraki 	http://www.mt-archive.info/70/MTS-1987-Muraki.pdf			
Panel	 C. Boitet 	http://www.mt-archive.info/70/MTS-1987-Boitet-2.pdf			
Machine Translation Projects	S.Ishizaki	http://www.mt-archive.info/70/Nagao-1989-Ishizaki-2.pdf			
 EUROTRA	 S. Perschke 	http://www.mt-archive.info/70/MTS-1987-Perschke.pdf			
 ALVEY	 F. E. Knowles 	http://www.mt-archive.info/70/MTS-1987-Knowles.pdf			
 ESPRIT	 M. Carpentier 				
 ODA	 Y. Tsuji 	http://www.mt-archive.info/70/MTS-1987-Tsuji.pdf			
 GETA	 C. Boitet 	http://www.mt-archive.info/70/MTS-1987-Boitet-1.pdf			
 Mu	 J. Tsujii 	http://www.mt-archive.info/70/MTS-1987-Tsujii-2.pdf			
 CMU	 J. G. Carbonell 	http://www.mt-archive.info/70/Nagao-1989-Tomita.pdf			
 EDR	 T. Kakizaki 	http://www.mt-archive.info/70/MTS-1987-Kakizaki.pdf			
Panel	 Ainon Muhammad 	http://www.mt-archive.info/70/MTS-1987-Muhammad.pdf			
 L. Rolling 		http://www.mt-archive.info/70/Nagao-1989-Rolling.pdf			
 M. Kay 		http://www.mt-archive.info/70/Nagao-1989-Kay-2.pdf			
 M. Nagao 		http://www.mt-archive.info/70/Nagao-1989-Nagao-2.pdf			
