Title	Authors	Pdf	Presentation	Volume_Name	Notes
Machine Translation: What have we to do?	Nagao, Makoto	http://www.mt-archive.info/90/MTS-1993-Nagao.pdf			
Latest Developments in Machine Translation Technology: Beginning a New Era in MT Research	Hutchins, John	http://www.mt-archive.info/90/MTS-1993-Hutchins.pdf			
The Present State of Machine Translation Usage Technology; Or: How Do I Use Thee? Let Me Count the Ways	Vasconcellos, Muriel	http://www.mt-archive.info/90/MTS-1993-Vasconcellos-1.pdf			
From Electronic Dictionaries to Very Large-Scale Knowledge Bases	Yokoi, Toshio	http://www.mt-archive.info/90/MTS-1993-Yokoi.pdf			
The Electronic Dictionary Project - Current Status and Future Plans Multi-lingual Machine Translation (MMT) Project	Chiba, Seibi	http://www.mt-archive.info/90/MTS-1993-Chiba.pdf			
Multi-lingual Machine Translation (MMT) Project	The Electronic Dictionary Project - Current Status and Future Plans"........................................................ 65	http://www.mt-archive.info/90/MTS-1993-Funaki.pdf			
Utilization of Machine Translation	Ahmad Zaki Abu Bakar	http://www.mt-archive.info/90/MTS-1993-Zaki.pdf			
Automatic Speech Translation at ATR	Kurematsu, Akira	http://www.mt-archive.info/90/MTS-1993-Morimoto.pdf			
E.C. Language Projects	Rolling, Loll	http://www.mt-archive.info/90/MTS-1993-Rolling-1.pdf			
EDR Electronic Dictionary	Takebayashi, Yoichi	http://www.mt-archive.info/90/MTS-1993-Takebayashi.pdf			
Verbmobil: Translation of Face-To-Face Dialogs	Wahlster, Wolfgang	http://www.mt-archive.info/90/MTS-1993-Wahlster.pdf			
Corpora and Machine Translation	Wilks, Yorick	http://www.mt-archive.info/90/MTS-1993-Wilks.pdf			
An Example-Based Multilingual MT System in a Conceptual Language	Yasuhara, Hiroshi	http://www.mt-archive.info/90/MTS-1993-Yasuhara.pdf			
Interlingua for Multilingual Machine Translation	Zhu, Meiying	http://www.mt-archive.info/90/MTS-1993-Uchida.pdf			
Practical Speech Translation Systems will Integrate Human Expertise, Multimodal Communication, and Interactive Disambiguation	The Future of Machine Translation Technology	http://www.mt-archive.info/90/MTS-1993-Boitet.pdf			
Machine-Aided Human Translation and the Paradigm Shift	Isabelle, Pierre	http://www.mt-archive.info/90/MTS-1993-Isabelle.pdf			
Some Lessons Learnt by a New Comer	Low, Hwee-Boon	http://www.mt-archive.info/90/MTS-1993-Low.pdf			
A Direction of MT Development	Nirenburg, Sergei	http://www.mt-archive.info/90/MTS-1993-Nirenburg.pdf			
The Future of MT Technology	Rohrer, Christian	http://www.mt-archive.info/90/MTS-1993-Rohrer.pdf			
After Linguistics-based MT	Tsujii, Junichi	http://www.mt-archive.info/90/MTS-1993-Tsujii.pdf			
Panel on Evaluation: MT Summit IV Introduction	King, Margaret	http://www.mt-archive.info/90/MTS-1993-King.pdf			
Strategy for Machine Translation Evaluation	Nomura, Hirosato	http://www.mt-archive.info/90/MTS-1993-Nomura.pdf			
Panel Contribution on MT Evaluation	Rolling, Loll	http://www.mt-archive.info/90/MTS-1993-Rolling-2.pdf			
Evaluation Method of Machine Translation	Vasconcellos, Muriel	http://www.mt-archive.info/90/MTS-1993-Vasconcellos-2.pdf			
Evaluation Method of Machine Translation: from the Viewpoint of Natural Language Processing	Yokoyama, Shoichi	http://www.mt-archive.info/90/MTS-1993-Yokoyama.pdf			
Panel on International Cooperation	Rolling, Loll	http://www.mt-archive.info/90/MTS-1993-Rolling-3.pdf			
The R&D Activities of MT in China	Yang, Tianxing	http://www.mt-archive.info/90/MTS-1993-Yang.pdf			
