Title	Authors	Pdf	Presentation	Volume_Name	Notes
The Open A.I. KitTM: General Machine Learning Modules from Statistical Machine Translation	Daniel J. Walker	http://www.mt-archive.info/05/MTS-2005-Walker.pdf			Open-source machine translation
An Open Architecture for Transfer-based Machine Translation between Spanish and Basque	Iñaki Alegria and Arantza Diaz de Ilarraza and Gorka Labaka and Mikel Lersundi and Aingeru Mayor and Kepa Sarasola and Mikel L. Forcada and Sergio Ortiz-Rojas and Lluís Padró	http://www.mt-archive.info/05/MTS-2005-Alegria.pdf			Open-source machine translation
Open Source Machine Translation with DELPH-IN	Francis Bond and Stephan Oepen and Melanie Siegel and Ann Copestake and Dan Flickinger	http://www.mt-archive.info/05/MTS-2005-Bond.pdf			Open-source machine translation
An Open-Source Shallow-Transfer Machine Translation Toolbox: Consequences of Its Release and Availability	Carme Armentano-Oller and Antonio M. Corbí-Bellot and Mikel L. Forcada and Mireia Ginestí-Rosell and Boyan Bonev and Sergio Ortiz-Rojas and Juan Antonio Pérez-Ortiz and Gema Ramírez-Sánchez and Felipe Sánchez-Martínez	http://www.mt-archive.info/05/MTS-2005-Armentano-Oller.pdf			Open-source machine translation
