Title	Authors	Pdf	Presentation	Volume_Name	Notes
C.Rohrer, University of Stuttgart, Stuttgart, Germany	C.Rohrer	http://www.mt-archive.info/70/MTS-1989-Rohrer-2.pdf			Opening address
J.M.Czermak, Bundesministerium für Forschung und Technologie, Bonn, Germany	J.M.Czermak	http://www.mt-archive.info/70/MTS-1989-Czermak.pdf			Greetings
Dr.T.Goppel, Bayerisches Staatsministerium für Wissenschaft und Kunst, Munich, Germany		http://www.mt-archive.info/70/MTS-1989-Goppel.pdf			Greetings
M.Nagao, Kyoto University, Kyoto, Japan	M.Nagao	http://www.mt-archive.info/70/MTS-1989-Nagao.pdf			Keynote
METAL	 T.Schneider	http://www.mt-archive.info/70/MTS-1989-Schneider.pdf			Operational MT systems I
SYSTRAN	 D.A.Gachot	http://www.mt-archive.info/70/MTS-1989-Gachot.pdf			Operational MT systems I
LOGOS	 B.Scott	http://www.mt-archive.info/70/MTS-1989-Scott.pdf			Operational MT systems II
ATLAS	 H.Uchida	http://www.mt-archive.info/70/MTS-1989-Uchida.pdf			Operational MT systems II
Chair	 Veronica Lawson				Panel 1: Practical experience in the application of MT systems
	R.Arntz	http://www.mt-archive.info/70/MTS-1989-Arntz.pdf			Panel 1: Practical experience in the application of MT systems
	G.Freibott	http://www.mt-archive.info/70/MTS-1989-Freibott.pdf			Panel 1: Practical experience in the application of MT systems
	L.Rolling	http://www.mt-archive.info/70/MTS-1989-Rolling.pdf			Panel 1: Practical experience in the application of MT systems
	M. Vasconcellos	http://www.mt-archive.info/70/MTS-1989-Vasconcellos.pdf			Panel 1: Practical experience in the application of MT systems
	G. Engel				Panel 1: Practical experience in the application of MT systems
	S. Sato	http://www.mt-archive.info/70/MTS-1989-Sato.pdf			Panel 1: Practical experience in the application of MT systems
HICATS	 H.Kaji	http://www.mt-archive.info/70/MTS-1989-Kaji.pdf			Operational MT systems III
TAURAS	 D. Amano	http://www.mt-archive.info/70/MTS-1989-Amano.pdf			Operational MT systems III
LMT	 M.McCord	http://www.mt-archive.info/70/MTS-1989-McCord.pdf			MT systems under development I
ROSETTA	 J. Landsbergen	http://www.mt-archive.info/70/MTS-1989-Landsbergen.pdf			MT systems under development I
MU-2 system	 T.Ashizaki	http://www.mt-archive.info/70/MTS-1989-Ashizaki.pdf			MT systems under development II
JFY-IV	 Z. Liu	http://www.mt-archive.info/70/MTS-1989-Liu.pdf			MT systems under development II
Japanese view of the future of machine translation	 M.Nagao	http://www.mt-archive.info/70/MTS-1989-Nagao-2.pdf			Special lecture:
Chair	 J.M.Czermak				Panel 2: Government views of MT
		http://www.mt-archive.info/70/MTS-1989-Hussain.pdf			Panel 2: Government views of MT
	A.Kubota				Panel 2: Government views of MT
	M.E.Sieny	http://www.mt-archive.info/70/MTS-1989-Sieny.pdf			Panel 2: Government views of MT
	A.Zampolli	http://www.mt-archive.info/70/MTS-1989-Zampolli.pdf			Panel 2: Government views of MT
	C.N.Jansen van Rosendaal	http://www.mt-archive.info/70/MTS-1989-Jansen%20van%20Rosendaal.pdf			Panel 2: Government views of MT
	G.Coray	http://www.mt-archive.info/70/MTS-1989-Coray.pdf			Panel 2: Government views of MT
	H.Billing	http://www.mt-archive.info/70/MTS-1989-Billing.pdf			Panel 2: Government views of MT
ODA	 H.Tanaka	http://www.mt-archive.info/70/MTS-1989-Tanaka.pdf			MT systems under development III
CMU-MT system	 S.Nirenburg	http://www.mt-archive.info/70/MTS-1989-Nirenburg.pdf			MT systems under development III
EUROTRA	 S.Perschke	http://www.mt-archive.info/70/MTS-1989-Perschke.pdf			MT systems under development III
Chair	 C.Rohrer	http://www.mt-archive.info/70/MTS-1989-Rohrer.pdf			Panel 3: New directions in MT systems
	C.Boitet	http://www.mt-archive.info/70/MTS-1989-Boitet.pdf			Panel 3: New directions in MT systems
	J.G.Carbonell				Panel 3: New directions in MT systems
	M. Kay				Panel 3: New directions in MT systems
	M.King	http://www.mt-archive.info/70/MTS-1989-King.pdf			Panel 3: New directions in MT systems
	A.Kurematsu	http://www.mt-archive.info/70/MTS-1989-Kurematsu.pdf			Panel 3: New directions in MT systems
	P.Isabelle	http://www.mt-archive.info/70/MTS-1989-Isabelle.pdf			Panel 3: New directions in MT systems
	C.Rohrer				Closing address
Exhibitors		http://www.mt-archive.info/70/MTS-1989-exhibitors.pdf			Closing address
