Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Foreword to published proceedings	Léon Dostert	http://www.mt-archive.info/50/GURT-1957-Dostert-3.pdf				Introduction
Introduction	Reverend Frank L. Fadner	http://www.mt-archive.info/50/GURT-1957-Fadner.pdf			1	Introduction
Brief History of Machine Translation Research	L. E. Dostert	http://www.mt-archive.info/50/GURT-1957-Dostert-1.pdf			3	Introduction
Meaning in Relation to Machine Translation	Martin Joos	http://www.mt-archive.info/50/GURT-1957-Joos.pdf			13	
Linguistic Analysis and Mechanical Formulation 	A. C. Reynolds					
Linguistic Analysis and Translation Analysis	Paul L. Garvin	http://www.mt-archive.info/50/GURT-1957-Garvin.pdf			19	
Language as Symbolic Logic	William M. Austin	http://www.mt-archive.info/50/GURT-1957-Austin.pdf			39	
The Mathematics and Logic of Language 	Duncan Harkin					
Discussion	Leon Dostert and Martin Joos and Paul Garvin and Michael Zarechnak and Herbert Paper and Alo Raun and Carlton Hodge	http://www.mt-archive.info/50/GURT-1957-discussion-1.pdf			45	
Character Sensing as an Input to Machine Translation	Clyde C. Heasly	http://www.mt-archive.info/50/GURT-1957-Heasly.pdf			55	
The Rationale of the Idioglossary Technique	Victor A. Oswald	http://www.mt-archive.info/50/GURT-1957-Oswald.pdf			63	
Word Decomposition for Machine Translation	R. H. Richens and M. A. K. Halliday	http://www.mt-archive.info/50/GURT-1957-Richens.pdf			71	
The Requirements of Lexical Storage	Gilbert W.King	http://www.mt-archive.info/50/GURT-1957-King.pdf			79	
German Pre-Nominal Modifiers as Clues in Machine Translation	Hugo J. Mueller	http://www.mt-archive.info/50/GURT-1957-Mueller.pdf			89	
New Large-capacity Optic Data Storage Device 	Jacob Rabinow					
Linguistics and Information Retrieval	Simon M. Newman	http://www.mt-archive.info/50/GURT-1957-Newman.pdf			103	
Discussion	Victor Oswald and Gilbert King and Leon Dostert and Jack Rabinow and Paul Garvin and Simon Newman and Clyde Heasly and W.P.Lehmann and Jesse Mann and William Austin	http://www.mt-archive.info/50/GURT-1957-discussion-2.pdf			112	
Structure of Noun Phrases in German	W. P. Lehmann	http://www.mt-archive.info/50/GURT-1957-Lehmann.pdf			125	
Types of Russian Sentences	Michael Zarechnak	http://www.mt-archive.info/50/GURT-1957-Zarechnak.pdf			135	
Some Ideas on Inter-structural Syntax	Jane A. Pyne	http://www.mt-archive.info/50/GURT-1957-Pyne.pdf			143	
The Use of SEAC in Syntactic Analysis	Richard B. Thomas	http://www.mt-archive.info/50/GURT-1957-Thomas.pdf			151	
Programming Aspects of Machine Translation	Daniel A. Belmore	http://www.mt-archive.info/50/GURT-1957-Belmore.pdf			163	
Discussion	Victor Oswald and Dan Belmore and Paul Garvin and Hugo Mueller and W.P.Lehmann and Richard Thomas and N.A.Kirsch and Herbert Paper and Michael Zarechnak and Leon Dostert and Martin Joos and Victor Yngve and Jane Pyne and R.A.Crossland and William Austin and Gilbert King	http://www.mt-archive.info/50/GURT-1957-discussion-3.pdf			167	
Practical Objectives in Machine Translation Research	L. E. Dostert	http://www.mt-archive.info/50/GURT-1957-Dostert-2.pdf			181	Closing and Appendix
Appendix . Program		http://www.mt-archive.info/50/GURT-1957-program.pdf			187	Closing and Appendix
Appendix . Participants		http://www.mt-archive.info/50/GURT-1957-program.pdf				Closing and Appendix
Appendix . Index of Speakers						Closing and Appendix
