Title	Authors	Pdf	Presentation	Volume_Name
"Commercial MT User Program"				
"Integrating MT with Digital Collections for Multilingual Information Access"	"Jiangping Chen and Olajumoke Agozu and Wenqian Zhao and Cheng Chieh Lien and Ryan Knudson and Ying Zhang"	http://www.mt-archive.info/10/AMTA-2012-Chen.pdf		"Commercial MT User Program"
"Linguists Love Art and Management Loves Efficiency – Can MT be the Solution?"	"Sachiyo Demizu and Mike Holland"	http://www.mt-archive.info/10/AMTA-2012-Demizu.pdf		"Commercial MT User Program"
"Taking Statistical Machine Translation to the Student Translator"	"Stephen Doherty and Dorothy Kenny and Andy Way"	http://www.mt-archive.info/10/AMTA-2012-Doherty-1.pdf		"Commercial MT User Program"
"A User-Based Usability Assessment of Raw Machine Translated Technical Instructions"	"Stephen Doherty and Sharon O’Brien"	http://www.mt-archive.info/10/AMTA-2012-Doherty-2.pdf		"Commercial MT User Program"
"What’s Your Pick: RbMT, SMT or Hybrid?"	"Catherine Dove and Olga Loskutova and Ruben de la Fuente"	http://www.mt-archive.info/10/AMTA-2012-Dove.pdf		"Commercial MT User Program"
"Evaluation of Domain Adaptation Techniques for TRANSLI in a Real-World Environment"	"Atefeh Farzindar and Wael Khreich"	http://www.mt-archive.info/10/AMTA-2012-Farzindar.pdf		"Commercial MT User Program"
"An LSP Perspective: Business & Process Challenges Implementing MT Solutions: Is MT Delivering Expected Value?"	"Rustin Gibbs and Joe DiDamo"	http://www.mt-archive.info/10/AMTA-2012-Gibbs.pdf		"Commercial MT User Program"
"Translating User-Generated Content in the Social Networking Space"	"Jie Jiang and Andy Way and Rejwanul Haque"	http://www.mt-archive.info/10/AMTA-2012-Jiang-2.pdf		"Commercial MT User Program"
"Managing Change when Implementing MT Systems"	"Michel Lopez"	http://www.mt-archive.info/10/AMTA-2012-Lopez.pdf		"Commercial MT User Program"
"Beyond MT: Source Content Quality and Process Automation"	"Jenny Lu and Patricia Paladini Adell"	http://www.mt-archive.info/10/AMTA-2012-Lu.pdf		"Commercial MT User Program"
"Incremental Re-Training of a Hybrid English-French MT System with Customer Translation Memory Data"	"Evgeny Matusov"	http://www.mt-archive.info/10/AMTA-2012-Matusov.pdf		"Commercial MT User Program"
"Multiplying the Potential of Crowdsourcing with Machine Translation"	"Victor Muntés-Mulero and Patricia Paladini and Marc Solé and Jawad Manzoor"	http://www.mt-archive.info/10/AMTA-2012-Muntes-Mulero.pdf		"Commercial MT User Program"
"Machine Translation as a Global Enterprise Service at Ford"	"Craig Plesco and Nestor Rychtyckyi"	http://www.mt-archive.info/10/AMTA-2012-Plesco.pdf		"Commercial MT User Program"
"Using the Microsoft Translator Hub at The Church of Jesus Christ of Latter-day Saints"	"Stephen D. Richardson"	http://www.mt-archive.info/10/AMTA-2012-Richardson.pdf		"Commercial MT User Program"
"Automatic Speech Recognition & Hybrid MT for HQ Closed-Captioning & Subtitling for Video Broadcast"	"Hassan Sawaf"	http://www.mt-archive.info/10/AMTA-2012-Sawaf.pdf		"Commercial MT User Program"
"Spoken Language Translation: Three Business Opportunities"	"Mark Seligman and Mike Dillinger"	http://www.mt-archive.info/10/AMTA-2012-Seligman.pdf		"Commercial MT User Program"
"IPTranslator: Facilitating Patent Search with Machine Translation"	"John Tinsley and Alexandru Ceausu and Jian Zhang and Heidi Depraetere and Joeri Van de Walle"	http://www.mt-archive.info/10/AMTA-2012-Tinsley.pdf		"Commercial MT User Program"
"Introduction to Machine Translation"	"Mike Dillinger"	http://www.mt-archive.info/10/AMTA-2012-Dillinger-ppt.pdf		Tutorials
"Increasing Localization Efficiency with SYSTRAN Hybrid MT Products"	"John Paul Barraza"	http://www.mt-archive.info/10/AMTA-2012-Barrazza-ppt.pdf		Tutorials
"MT and Arabic Language Issues"	"Nizar Habash"	http://www.mt-archive.info/10/AMTA-2012-Habash-ppt.pdf		Tutorials
"Using MT in Today’s CAT Tools"	"Jost Zetzsche"	http://www.mt-archive.info/10/AMTA-2012-Zetzsche-abs.pdf		Tutorials
"Open Source Statistical Machine Translation"	"Philipp Koehn"	http://www.mt-archive.info/10/AMTA-2012-Koehn-ppt.pdf		Tutorials
"Practical Domain Adaptation in SMT"	"Marcello Federico and Co-Director and Human Language Technology Research Unit"	http://www.mt-archive.info/10/AMTA-2012-Bertoldi-ppt.pdf		Tutorials
