Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
OPENING ADDRESS	SIR GORDON SUTHERLAND	http://www.mt-archive.info/50/NPL-1961-Sutherland.pdf			1	
Session 1					5	
A preliminary approach to Japanese-English automatic translation 	SUSUMU KUNO	http://www.mt-archive.info/50/NPL-1961-Kuno.pdf			7	
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Whelan-1.pdf			24	
A new model of syntactic description	F. R. PARKER-RHODES	http://www.mt-archive.info/50/NPL-1961-Parker-Rhodes.pdf			25	
Presentation and discussion of paper 27		http://www.mt-archive.info/50/NPL-1961-Whelan-2.pdf			61	
Random generation of English sentences	VICTOR H. YNGVE	http://www.mt-archive.info/50/NPL-1961-Yngve.pdf			65	
Presentation and discussion of paper 6		http://www.mt-archive.info/50/NPL-1961-Lyons-1.pdf			81	
The classification of English verbs by object types	SEYMOUR CHATMAN	http://www.mt-archive.info/50/NPL-1961-Chatman.pdf			83	
Presentation and discussion of paper 9		http://www.mt-archive.info/50/NPL-1961-Lyons-2.pdf			95	
Structure at the lexical level and its implication for transfer grammar	EDWARD S. KLIMA	http://www.mt-archive.info/50/NPL-1961-Klima.pdf			97	
Presentation and discussion of paper 13		http://www.mt-archive.info/50/NPL-1961-Lyons-3.pdf			109	
The application of the article in English	JEHANE BARTON	http://www.mt-archive.info/50/NPL-1961-Barton.pdf			111	
Presentation and discussion of paper 32		http://www.mt-archive.info/50/NPL-1961-Lyons-4.pdf			119	
Recognition of clauses and phrases in machine translation of languages	FRANZ L. ALT and IDA RHODES	http://www.mt-archive.info/50/NPL-1961-Alt.pdf			125	
The identification of nested structures in predictive syntactic analysis	MURRAY E. SHERRY	http://www.mt-archive.info/50/NPL-1961-Sherry.pdf			143	
Presentations and discussions of papers 11 and 18		http://www.mt-archive.info/50/NPL-1961-Lehmann.pdf			156	
A fourth level of linguistic analysis	MICHAEL ZARECHNAK	http://www.mt-archive.info/50/NPL-1961-Zarechnak.pdf			159	
Discussion on paper 12		http://www.mt-archive.info/50/NPL-1961-McDaniel-1.pdf			172	
Automatic sentence diagramming	WARREN PLATH	http://www.mt-archive.info/50/NPL-1961-Plath.pdf			175	
Discussion on paper 2		http://www.mt-archive.info/50/NPL-1961-McDaniel-2.pdf			192	
A preliminary structural transfer system	WILLIAM D. FOUST and JULIA WALKLING	http://www.mt-archive.info/50/NPL-1961-Foust.pdf			195	
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-3.pdf			207	
A note on categorial grammars	R.P.MITCHELL	http://www.mt-archive.info/50/NPL-1961-Mitchell.pdf			211	
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Davies-1.pdf			220	
Human translation and translation by machine, I	SILVIO CECCATO and BRUNA ZONTA	http://www.mt-archive.info/50/NPL-1961-Ceccato.pdf			221	
Presentation and discussion of paper O	Linguistic analysis or Russian chemical terminology	http://www.mt-archive.info/50/NPL-1961-McDaniel-4.pdf			247	
Linguistic analysis or Russian chemical terminology	JOHN H. WAHLGREN	http://www.mt-archive.info/50/NPL-1961-Wahlgren.pdf			249	
Machine translation of Russian organic chemical names into English by analysis and resynthesls of the component fragments	LAWRENCE SUMMERS	http://www.mt-archive.info/50/NPL-1961-Summers.pdf			265	
Discussion on papers 19 and 17		http://www.mt-archive.info/50/NPL-1961-McDaniel-5.pdf			278	
Session 5		http://www.mt-archive.info/50/NPL-1961-Edmundson-3.pdf			281	
Intrinsic machine addressing in automatic translation	YVES LECERF	http://www.mt-archive.info/50/NPL-1961-Lecerf.pdf			283	
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-6.pdf			313	
Source-language specifications with table lookup and high-capacity dictionary	LEW R. MICKLESEN	http://www.mt-archive.info/50/NPL-1961-Micklesen.pdf			317	
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-7.pdf			341	
A technique for consistent splitting of Russian words	DONALD W. DAVIES and ANTHONY M. DAY	http://www.mt-archive.info/50/NPL-1961-Davies-2.pdf			343	
The grammatical interpretation of Russian inflected forms using a stem dictionary	JOHN McDANIEL and STEPHEN WHELAN	http://www.mt-archive.info/50/NPL-1961-McDaniel.pdf			363	
Discussion on papers 23 and 4	On problems of address in an automatic dictionary of French	http://www.mt-archive.info/50/NPL-1961-Josselson-1.pdf			378	
