Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Preface	Frank van Eynde	http://www.mt-archive.info/90/ESSLLI-1998-Preface.pdf				
Meaning preservation in machine translation	Michael Carl	http://www.mt-archive.info/90/ESSLLI-1998-Carl-1.pdf				
Towards a dynamic linkage of example-based and rule-based machine translation	Michael Carl and Leonid L. Iomdin and Oliver Streiter	http://www.mt-archive.info/90/ESSLLI-1998-Carl-2.pdf				
Statistical translation in limited domain tasks	Ismael García-Varea and Francisco Casacuberta	http://www.mt-archive.info/90/ESSLLI-1998-Garcia.pdf				
Science and technology in machine translation	Pius ten Hacken	http://www.mt-archive.info/90/ESSLLI-1998-Hacken.pdf				
A Polish-to-English electronic dictionary designed for the purposes of MT	Krzysztof Jassem and Maciej Lison and Filip Graliński and Boguslaw Rutkowski	http://www.mt-archive.info/90/ESSLLI-1998-Jassem.pdf				
Compositional translation revisted	Jan Landsbergen	http://www.mt-archive.info/90/ESSLLI-1998-Landsbergen.pdf				
"New paradigms" in MT: the state of play now that the dust has settled 	Harold Somers	http://www.mt-archive.info/90/ESSLLI-1998-Somers.pdf				
MT Express	Rémi Zajac	http://www.mt-archive.info/90/ESSLLI-1998-Zajac.pdf				
