Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Developments in machine translation research in the US	Yorick Wilks	http://www.mt-archive.info/90/Aslib-1993-Wilks.pdf			1	
Machine translation, myth, muddle or reality	Seamus Derrington	http://www.mt-archive.info/90/Aslib-1993-Derrington.pdf			19	
Choose your words carefully	Patrick de Gale and Sage de Gale	http://www.mt-archive.info/90/Aslib-1993-deGale.pdf			23	
Controlled English with and without machine translation	Arthur Lee	http://www.mt-archive.info/90/Aslib-1993-Lee.pdf			35	
Collaborative authoring of hypermedia documents	Jörg M Haake and Christine M Neuwirth	http://www.mt-archive.info/90/Aslib-1993-Haake.pdf			41	
Terminology and the computer - attention shifts to the micro	Roger Bennett	http://www.mt-archive.info/90/Aslib-1993-Bennett.pdf			59	
New trends in terminology processing and implications for practical translation	Blaise Nkwenti-Azeh	http://www.mt-archive.info/90/Aslib-1993-Nkwenti-Azeh.pdf			83	
The Internet - an electronic treasure trove	Gerhard Obenaus	http://www.mt-archive.info/90/Aslib-1993-Obenaus.pdf			99	
Evaluation of machine translation software and methods	Margaret King	http://www.mt-archive.info/90/Aslib-1993-King.pdf			111	
Forty ways to skin a cat: users report on machine translation	Veronica Lawson and Muriel Vasconcellos	http://www.mt-archive.info/90/Aslib-1993-Lawson.pdf			121	
Development of management package for translators in translation management Foreign languages in WordPerfect		http://www.mt-archive.info/90/Aslib-1993-Barber.pdf			131	
Foreign languages in WordPerfect		http://www.mt-archive.info/90/Aslib-1993-Kahrel.pdf			153	
The SUNDIAL speech understanding and dialogue project: results and implication for translation Future translation workbenches: some essential requirements	Richard Birch	http://www.mt-archive.info/90/Aslib-1993-Fraser.pdf			165	
Future translation workbenches: some essential requirements	Richard Birch	http://www.mt-archive.info/90/Aslib-1993-Birch.pdf			181	
