Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Training translation students to evaluate CAT tools using EAGLES: a case study	Marianne Starlander	http://www.mt-archive.info/10/Aslib-2013-Starlander.pdf				
Using Excel as an XLIFF editor: You cannot be serious!	Andrzej Zydroń	http://www.mt-archive.info/10/Aslib-2013-Zydron.pdf				
Crowdsouced translation practices	Aram	http://www.mt-archive.info/10/Aslib-2013-Morera-Mesa.pdf				
Streamlining your workflow: useful desktop software and mobile applications for the interpreting and translation industry	Valeria Aliperta	http://www.mt-archive.info/10/Aslib-2013-abs.htm				abstract
Building on processes, workflows, skills and IT tools to speed up the translation process and meet clients’ expectations	Denis Dechandon and Viviane Schütz	http://www.mt-archive.info/10/Aslib-2013-Dechandon.pdf				
Multidimensional quality metrics: a flexible system for assessing translation quality	Aljoscha Burchardt	http://www.mt-archive.info/10/Aslib-2013-Lommel.pdf				
Terminology finding in the Sketch engine	Adam Kilgarriff	http://www.mt-archive.info/10/Aslib-2013-Kilgarriff.pdf				
Machine translation quality estimation	Lucia Specia	http://www.mt-archive.info/10/Aslib-2013-abs.htm				abstract
Knowledge management issues in the workflow of translation memory systems	Timmy Oumai Wang and Mark Shuttleworth	http://www.mt-archive.info/10/Aslib-2013-Wang.pdf				
Emerging use-cases for machine translation	Andy Way	http://www.mt-archive.info/10/Aslib-2013-Way.pdf				
Tailor-made quality-controlled translation	Sergio Penkale	http://www.mt-archive.info/10/Aslib-2013-Penkale.pdf				
Collaborative terminology in the age of social web 2.0	Klaus Fleischmann	http://www.mt-archive.info/10/Aslib-2013-Fleischmann.pdf				
New tools for subtitle translation	Yota Georgakopoulou and Lindsay Bywood	http://www.mt-archive.info/10/Aslib-2013-abs.htm				abstract
ITS 2.0 automated translation of natural language content	Pedro Luís Diez Orzas	http://www.mt-archive.info/10/Aslib-2013-Diez-Orzas.pdf				
Overview of the XLIFF 2.0 specification	Frederik Estreen	http://www.mt-archive.info/10/Aslib-2013-abs.htm				abstract
