Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Catriona Picken	http://www.mt-archive.info/70/Aslib-1984-Picken.pdf				
The professional technical translator: new approaches to training	Birgit Rommel	http://www.mt-archive.info/70/Aslib-1984-Rommel.pdf				
The British Term Bank prototype: user needs, modes of access, and co-operation in development	Lisa E.Price	http://www.mt-archive.info/70/Aslib-1984-Price.pdf				
International telecommunications	D.W.F.Medcraft	http://www.mt-archive.info/70/Aslib-1984-Medcraft.pdf				
Update on machine translation	Peter Wheeler	http://www.mt-archive.info/70/Aslib-1984-Wheeler.pdf				
Summary of discussion	Pamela Mayorcas-Cohen	http://www.mt-archive.info/70/Aslib-1984-Mayorcas-Cohen.pdf				
Summary of discussion	Patrick Sutton and Maud Fortune and John Scott	http://www.mt-archive.info/70/Aslib-1984-Sutton.pdf				
Summary of discussion	Brian McCluskey and Andy Evans and Nélida Depiante	http://www.mt-archive.info/70/Aslib-1984-McCluskey.pdf				
Selecting a machine translation software vendor	Linn Hedwig Downs	http://www.mt-archive.info/70/Aslib-1984-Downs.pdf				
Summary of discussion	John Hutchins and Monique L’Huillier and Brian McCluskey	http://www.mt-archive.info/70/Aslib-1984-Hutchins.pdf				
Office automation and the Teleglobe experience	Linda Crombie-Talhami	http://www.mt-archive.info/70/Aslib-1984-Talhami.pdf				
Electronic mail	Robert Rooke	http://www.mt-archive.info/70/Aslib-1984-Rooke.pdf				
Summary of discussion	Christine Smith	http://www.mt-archive.info/70/Aslib-1984-Smith.pdf				
Summary of discussion	David Beattie and John Stowell	http://www.mt-archive.info/70/Aslib-1984-Beattie.pdf				
Handling non-Roman character sets with computers	Hugh McGregor Ross	http://www.mt-archive.info/70/Aslib-1984-Ross.pdf				
World scripts (background paper)	John Clews	http://www.mt-archive.info/70/Aslib-1984-Clews.pdf				
Automatic speech recognition: fact or fantasy?	Raj Gunawardana	http://www.mt-archive.info/70/Aslib-1984-Gunawardana.pdf				
Summary of discussion	Pat Pailing and Chris Atkinson	http://www.mt-archive.info/70/Aslib-1984-Pailing.pdf				
Biographical notes 		http://www.mt-archive.info/70/Aslib-1984-biog.pdf				
