Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
The Language of Change	Dave Stevens	http://www.mt-archive.info/90/Aslib-1999-Stevens.pdf				
Multilingual Component Management: Trends and Implications for Translation	Stuart Sklair	http://www.mt-archive.info/90/Aslib-1999-Sklair.pdf				
Case Study: Document Management and Localization	Dan Dube and Debbie Bucchianeri and Karen O'Neill	http://www.mt-archive.info/90/Aslib-1999-Dube.pdf				
Resource and Workflow Management Support in Teletranslation	Klaus Schubert	http://www.mt-archive.info/90/Aslib-1999-Schubert.pdf				
Terminology Management in NATO	Ian Jones	http://www.mt-archive.info/90/Aslib-1999-Jones.pdf				
A Multi-level Framework for Memory-Based Translation Aid Tools	Stelios Piperidis and Christos Malavazos and Ioannis Triantafyllou 	http://www.mt-archive.info/90/Aslib-1999-Piperidis.pdf				
The Internet and the Single Translator	Janet Carter-Sigglow	http://www.mt-archive.info/90/Aslib-1999-Carter-Sigglow.pdf				
The World Wide Web as a Resource for Example-Based Machine Translation Tasks	Gregory Grefenstette	http://www.mt-archive.info/90/Aslib-1999-Grefenstette.pdf				
The Best of Both Worlds - or will two mongrels ever make a pedigree	Terence Lewis	http://www.mt-archive.info/90/Aslib-1999-Lewis.pdf				
Adapting the Concept of 'Translation Memory' to 'Authoring Memory' for a Controlled Language Writing Environment	Jeffrey Allen 	http://www.mt-archive.info/90/Aslib-1999-Allen.pdf				
A Building Blocks Approach to Translation Memory	Kevin McTait and Maeve Olohan and Arturo Trujillo	http://www.mt-archive.info/90/Aslib-1999-McTait.pdf				
MABLe: A Multi-lingual Authoring Tool for Business Letters	John Tait and Jeremy Ellman and Diomidis Spinelis	http://www.mt-archive.info/90/Aslib-1999-Tait.pdf				
Controlling Input and Output of MT for Greater User Acceptance	Arendse Bernth	http://www.mt-archive.info/90/Aslib-1999-Bernth.pdf				
Deploying the SAE J2450 Translation Quality Metric in Language Technology Evaluation Projects	Evaluation Projects	http://www.mt-archive.info/90/Aslib-1999-Schutz.pdf			2450	
Integrating Translation Technologies Using SALT	Gerhard Budin and Alan K. Melby and Sue Ellen Wright and Deryle Lonsdale and Arle Lommel	http://www.mt-archive.info/90/Aslib-1999-Budin.pdf			2450	
Translation Technology - The Next Generation	Sharon O'Brien	http://www.mt-archive.info/90/Aslib-1999-OBrien.pdf				
