Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
An Introduction to quality assurance and a guide to the implementation of BS5750	LJ.Wedlake	http://www.mt-archive.info/90/Aslib-1992-Wedlake.pdf				
The happy triad - the human, the MAT, and the MT	F. Svanholm	http://www.mt-archive.info/90/Aslib-1992-Svanholm.pdf				
User's point of view of the Translator's Workbench	Khai Le-Hong and M. Hoge and A. Hohmann	http://www.mt-archive.info/90/Aslib-1992-LeHong.pdf				
Terminology management: A corpus-based approach	K. Ahmad and M. Rogers	http://www.mt-archive.info/90/Aslib-1992-Ahmad.pdf				
Computer aided translation in an integrated document production process: Tools and applications	G.P. Freibott	http://www.mt-archive.info/90/Aslib-1992-Freibott.pdf				
Writing on disk - an author at play in a computer-simulated world	J. Dorner	http://www.mt-archive.info/90/Aslib-1992-Dorner.pdf				
Standards and national qualifications for language professionals	T. Caple	http://www.mt-archive.info/90/Aslib-1992-Caple.pdf				
Using METAL - the application of a machine translation system in an R&D environment	A. Paillet	http://www.mt-archive.info/90/Aslib-1992-Paillet.pdf				
Eurolang project (European languages)	J.J. Pérot	http://www.mt-archive.info/90/Aslib-1992-Perot.pdf				
Quality management in translation	S. O'Sullivan	http://www.mt-archive.info/90/Aslib-1992-OSullivan.pdf				
Evaluation of software	J.E. Rowley	http://www.mt-archive.info/90/Aslib-1992-Rowley.pdf				
A professional bulletin board for translators, an online members database, a new structure for printed directories	C. Bouthillier, Tekstotall 	http://www.mt-archive.info/90/Aslib-1992-Bouthillier.pdf				
Online correction and translation of industrial texts	G. Van der Steen and B-J Dijenborgh	http://www.mt-archive.info/90/Aslib-1992-vanderSteen.pdf				
English-Swedish translation of dialogue software	H. Alshawi and D. Carter and S. Pulman and M. Rayner and B. Gambäck	http://www.mt-archive.info/90/Aslib-1992-Alshawi.pdf				
The reunion of an Eastern family - the world's first truly integrated Chinese, Japanese and Korean DTP system	H.Z. Zhang	http://www.mt-archive.info/90/Aslib-1992-Zhang.pdf				
Stop reinventing the wheel	B. Clark	http://www.mt-archive.info/90/Aslib-1992-Clark.pdf				
Cab computer-speak language: developing multilingual audio and visual communications systems for Transmanche trains	R.T. Bell and J. Lonergan	http://www.mt-archive.info/90/Aslib-1992-Bell.pdf				
Interchange of documents in electronic form utilising international standards	Edward John Moore	http://www.mt-archive.info/90/Aslib-1992-Moore.pdf				
