Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Overview of the Fourth NTCIR Workshop.	Noriko Kando	http://www.mt-archive.info/jnl/NTCIR-2004-Kando.pdf				
Overview of CLIR task at the Fourth NTCIR Workshop.	Kazuaki Kishida and Kuang-hua Chen and Sukhoon Lee and Kazuko Kuriyama and Noriko Kando and Hsin-His Chen and Sung Hyon Myaeng and Koji Eguchi	http://www.mt-archive.info/jnl/NTCIR-2004-Kishida-1.pdf				
Cross-language IR at University of Tsukuba: automatic transliteration for Japanese, English and Korean.	Atsushi Fujii and Tetsuya Ishikawa	http://www.mt-archive.info/jnl/NTCIR-2004-Fujii.pdf				
Chinese and Korean topic search of Japanese news collections.	Frederic C. Gey	http://www.mt-archive.info/jnl/NTCIR-2004-Gey.pdf				
Combination approaches in information retrieval: words vs. n-grams, and query translation vs. document translation.	In-Su Kang and Seung-Hoon Na and Jong-Hyeok Lee	http://www.mt-archive.info/jnl/NTCIR-2004-Kang.pdf				
Prediction of performance on cross-lingual information retrieval by regression models.	Kazuaki Kishida and Kazuko Kuriyama and Noriko Kando and Koji Eguchi	http://www.mt-archive.info/jnl/NTCIR-2004-Kishida-2.pdf				
Ricoh in the NTCIR-4 CLIR tasks	Yuichi Kojima and Hideo Itoh	http://www.mt-archive.info/jnl/NTCIR-2004-Kojima.pdf				
University of Chicago at NTCIR4 CLIR: multi-scale query expansion	Gina-Anne Levow	http://www.mt-archive.info/jnl/NTCIR-2004-Levow.pdf				
Merging multilingual information retrieval results based on prediction of retrieval effectiveness.	Wen-Cheng Lin and Hsin-Hsi Chen	http://www.mt-archive.info/jnl/NTCIR-2004-Lin.pdf				
CLIR using web directory at NTCIR4	Fuminori Kimura and Akira Maeda and Shunsuke Uemura	http://www.mt-archive.info/jnl/NTCIR-2004-Kimura.pdf				
NTCIR-4 Chinese, English, Korean cross language retrieval experiments using PIRCS	K.L.Kwok and N.Dinstl and S.Choi	http://www.mt-archive.info/jnl/NTCIR-2004-Kwok.pdf				
Thomson Legal and Regulatory at NTCIR-4: monolingual and pivot-language retrieval experiments	Isabelle Moulinier	http://www.mt-archive.info/jnl/NTCIR-2004-Moulinier.pdf				
Justsystem-Clairvoyance CLIR experiments at NTCIR-4 Worksho	Yan Qu and Gregory Grefenstette and David A.Hull and David A.Evans and Toshiya Ueda and Tatsuo Kato and Daisuke Noda and Motoko Ishikawa and Setsuko Nara and Kousaku Arita	http://www.mt-archive.info/jnl/NTCIR-2004-Qu.pdf				
