Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Cross-language information retrieval at ULIS.	Atsushi Fujii and Tetsuya Ishikawa	http://www.mt-archive.info/jnl/NTCIR-1999-Fujii.pdf				
Description of the NTU Japanese-English cross-lingual information retrieval system used for NTCIR Workshop.	Chuan-Jie Lin and Wen-Cheng Lin and Guo-Wei Bian and Hsin-Hsi Chen	http://www.mt-archive.info/jnl/NTCIR-1999-Lin.pdf				
Multi-lingual multi-media information retrieval system.	Shoji Mizobuchi and Sankon Lee and Fumihiko Kawano and Tsuyoshi Kobayashi and Takahiro Komatsu	http://www.mt-archive.info/jnl/NTCIR-1999-Mizobuchi.pdf				
Cross language information retrieval based on comparable corpora.	S.Nakazawa and T.Ochiai and K.Satoh and A.Okumura	http://www.mt-archive.info/jnl/NTCIR-1999-Nakazawa.pdf				
NTCIR CLIR experiments at the University of Maryland.	Douglas W.Oard and Jianqiang Wang	http://www.mt-archive.info/jnl/NTCIR-1999-Oard.pdf				
Cross-language information retrieval for NTCIR at Toshiba.	Tetsuya Sakai and Yasuyo Shibazaki and Masaru Suzuki and Masahiro Kajiura	http://www.mt-archive.info/jnl/NTCIR-1999-Sakai.pdf				
Dynamic programming – a new paradigm for information retrieval.	Ryuichi Sawada and Kyoji Umemura	http://www.mt-archive.info/jnl/NTCIR-1999-Sawada.pdf				
