Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
CLEF: ongoing activities and plans for the future.	Maristella Agosti and Giorgio Maria di Nunzio and Nicola Ferro and Carol Peters	http://www.mt-archive.info/jnl/NTCIR-2007-Agosti.pdf				
Statistical machine translation based passage retrieval for cross-lingual question answering – experiments at NTCIR-	Tomoyosi Akiba and Kei Shimizu	http://www.mt-archive.info/jnl/NTCIR-2007-Akiba.pdf				
NTCIR-6 monolingual Chinese and English-Chinese cross-lingual question answering experiments using PIRCS	Kui-Lam Kwok and Peter Deng and Norbert Dinstl	http://www.mt-archive.info/jnl/NTCIR-2007-Kwok-2.pdf				
JAVELIN III: cross-lingual question answering from Japanese and Chinese documents.	Teruko Mitamura and Frank Lin and Hideki Shima and Mengqiu Wang and Jeongwoo Ko and Justin Betteridge and Matthew Bilotti and Andrew Schlaikjer and Eric Nyberg	http://www.mt-archive.info/jnl/NTCIR-2007-Mitamura.pdf				
AINLP at NTCIR-: evaluations for multilingual and cross-lingual information retrieval	Chen-Hsin Cheng and Reuy-Jye Shue and Hung-Lin Lee and Shu-Yu Hsieh and Guann-Cyun Yeh and Guo-Wei Bian	http://www.mt-archive.info/jnl/NTCIR-2007-Cheng.pdf				
Search between Chinese and Japanese text collections.	Frederic C.Gey	http://www.mt-archive.info/jnl/NTCIR-2007-Gey.pdf				
ISCAS in CLIR at NTCIR-6 : experiments with MT and PRF	Ruihong Huang and Le Sun and Jing Li and Longxi Pan and Junlin Zhang	http://www.mt-archive.info/jnl/NTCIR-2007-Huang.pdf				
OASIS at NTCIR-: on-line query translation for Chinese-Japanese cross-lingual information retrieval	Vitaly Klyuev	http://www.mt-archive.info/jnl/NTCIR-2007-Klyuev.pdf				
NTCIR-6 Chinese monolingual and English-Chinese cross language retrieval experiments using PIRCS	Kui-Lam Kwok and Norbert Dinstl	http://www.mt-archive.info/jnl/NTCIR-2007-Kwok-1.pdf				
Improving translation accuracy in web-based translation extraction.	Chengye Lu and Yue Xu and Shlomo Geva	http://www.mt-archive.info/jnl/NTCIR-2007-Lu.pdf				
Applying multiple charcteristics and techniques in the NICT information retrieval system in NTCIR-	Masaki Murata and Jong-Hoon Oh and Qing Ma and Hitoshi Isahara	http://www.mt-archive.info/jnl/NTCIR-2007-Murata.pdf				
POSTECH at NTCIR-: combining evidences of multiple term extractions for mono-lingual and cross-lingual retrieval in Korean and Japanese	Seung-Hoon Na and Jungi Kim and Ye-Ha Lee and Jong-Hyeok Lee	http://www.mt-archive.info/jnl/NTCIR-2007-Na.pdf				
Overview of CLIR task at the Sixth NTCIR Workshop.	Kazuaki Kishida and Kuang-hua Chen and Sukhoon Lee and Kazuko Kuriyama and Noriko Kando and Hsin-His Chen	http://www.mt-archive.info/jnl/NTCIR-2007-Kishida.pdf				
Overview of the Sixth NTCIR Workshop.	Noriko Kando	http://www.mt-archive.info/jnl/NTCIR-2007-Kando.pdf				
Toshiba BRIDJE at NTCIR-6 CLIR: the head/lead method and graded relevance feedback	Tetsuya Sakai and Makoto Koyama and Tatsuya Izuha and Akira Kumano and Toshihiko Manabe and Tomoharu Kokubu	http://www.mt-archive.info/jnl/NTCIR-2007-Sakai.pdf				
Using unigram and bigram language models for monolingual and cross-language IR.	Lixin Shi and Jian-Yun Nie	http://www.mt-archive.info/jnl/NTCIR-2007-Shi.pdf				
Using Wikipedia to translate OOV terms on MLIR.	Chen-Yu Su and Tien-Chien Lin and Shih-Hung Wu	http://www.mt-archive.info/jnl/NTCIR-2007-Su.pdf				
IASL system for NTCIR-6 Korean-Chinese cross-language information retrieval	Yu-Chun Wang and Cheng-Wei Lee and Richard Tzong-Han Tsai and Wen-Lian Hsu	http://www.mt-archive.info/jnl/NTCIR-2007-Wang.pdf				
NCU in bilingual information retrieval experiments at NTCIR-6	Yu-Chieh Wu and Kun-Chang Tsai and Jie-Chi Yang	http://www.mt-archive.info/jnl/NTCIR-2007-Wu.pdf				
Information retrieval using label propagation based ranking.	Yang Lingpeng and Ji Donghong and Nie Yu	http://www.mt-archive.info/jnl/NTCIR-2007-Yang.pdf				
NTCIR-6 experiments using pattern matched translation extraction	Dong Zhou and Mark Truran and Tim Brailsford and Helen Ashman	http://www.mt-archive.info/jnl/NTCIR-2007-Zhou.pdf				
