Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Catriona Picken	http://www.mt-archive.info/70/Aslib-1986-Picken-1.pdf				
The translation profession in the United Kingdom in 1986: new developments	Catriona Picken	http://www.mt-archive.info/70/Aslib-1986-Picken-2.pdf			3	
Continuing training for the language professions: a survey of needs	Anthony F. Hartley	http://www.mt-archive.info/70/Aslib-1986-Hartley.pdf			8	
Four eyes are better than two	P. J. Arthern	http://www.mt-archive.info/70/Aslib-1986-Arthern-1.pdf			14	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1986-discussion-1.pdf			27	
Recent developments in IT Standards of interest to translators	Peter Fenwick	http://www.mt-archive.info/70/Aslib-1986-Fenwick.pdf			31	
Principles of information retrieval for personal information systems	Paul F. Burton	http://www.mt-archive.info/70/Aslib-1986-Burton.pdf			40	
Terminology in the European Communities	P. J. Arthern	http://www.mt-archive.info/70/Aslib-1986-Arthern-2.pdf			53	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1986-discussion-2.pdf			61	
The integration of machine aids into the translation process: an introduction	Professor Juan Sager	http://www.mt-archive.info/70/Aslib-1986-Sager.pdf			65	
Machine translation in a large organisation	Jean Datta	http://www.mt-archive.info/70/Aslib-1986-Datta.pdf			67	
Translation practice in Europe	David Smith	http://www.mt-archive.info/70/Aslib-1986-Smith.pdf			74	
Research on machine translation at the University of Saarbrücken	Karl-Heinz Freigang	http://www.mt-archive.info/70/Aslib-1986-Freigang.pdf			83	
Translating administrative terminology using an Olivetti M24	Patrick N. Chaffey	http://www.mt-archive.info/70/Aslib-1986-Chaffey.pdf			95	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1986-discussion-3.pdf			105	
MT: recent developments	Loll Rolling	http://www.mt-archive.info/70/Aslib-1986-Rolling.pdf			109	
Current machine translation systems developed with GETA's methodology and software tools	Professor Christian Boitet	http://www.mt-archive.info/70/Aslib-1986-Boitet.pdf			114	
Post-editing on-screen: machine translation from Spanish into English	Dr Muriel Vasconcellos	http://www.mt-archive.info/70/Aslib-1986-Vasconcellos.pdf			133	
Japanese machine translation in Japan and the rest of the world	Peter J. Whitelock	http://www.mt-archive.info/70/Aslib-1986-Whitelock.pdf			147	
Summary of the discussion 		http://www.mt-archive.info/70/Aslib-1986-discussion-4.pdf			160	
Biographical notes on speakers					163	
List of participants					167	
