Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Catriona Picken	http://www.mt-archive.info/90/Aslib-1990-Picken-1.pdf			vii	
Keynote paper: Machine Translation and Machine-Aided Translation - What's going on	Jun-ichi Tsujii	http://www.mt-archive.info/90/Aslib-1990-Tsujii.pdf			3	
Translation and Computers: an overview of the Polish translation scene The growing range of document preparation systems	Bogdan Chojna	http://www.mt-archive.info/90/Aslib-1990-Chojna.pdf			27	
The growing range of document preparation systems	Philippa Moss	http://www.mt-archive.info/90/Aslib-1990-Moss.pdf			33	
Session 1: Summary of the discussion		http://www.mt-archive.info/90/Aslib-1990-Hartley.pdf			41	
Optical Character Recognition	Peter Laurie	http://www.mt-archive.info/90/Aslib-1990-Laurie-1.pdf			45	
Document conversion	Peter Laurie and David Hickman	http://www.mt-archive.info/90/Aslib-1990-Laurie-2.pdf			49	
Setting up a Mailbox network	Peter Barber	http://www.mt-archive.info/90/Aslib-1990-Barber.pdf			53	
Online data exchange	David Hickman	http://www.mt-archive.info/90/Aslib-1990-Hickman.pdf			57	
Session 2: Summary of the discussion		http://www.mt-archive.info/90/Aslib-1990-Wood.pdf			61	
Language technology products in the European market	Brigitte Engelien	http://www.mt-archive.info/90/Aslib-1990-Engelien.pdf			65	
Machine translation of natural languages: the TOVNA MTS solution	Ami Segal	http://www.mt-archive.info/90/Aslib-1990-Segal.pdf			83	
Session 3: Summary of the discussion		http://www.mt-archive.info/90/Aslib-1990-Picken-2.pdf			111	
The long-term effects of working with computers	Gunnela Westlander	http://www.mt-archive.info/90/Aslib-1990-Westlander.pdf			115	
Putting the VIM into AVIMA	Andrew Evans and Dimitri Theologitis	http://www.mt-archive.info/90/Aslib-1990-Evans.pdf			129	
Session 4: Summary of the discussion		http://www.mt-archive.info/90/Aslib-1990-Beardmore.pdf			139	
GEPRO - a computerised system for controlling the production of translations in the European Parliament	Barry Wilson	http://www.mt-archive.info/90/Aslib-1990-Wilson.pdf			143	
Translation quality - how can we tell it's good enough?	Peter Kahl	http://www.mt-archive.info/90/Aslib-1990-Kahl.pdf			149	
Multimedia/Multilanguage publishing for the 1990s	Kent Taylor	http://www.mt-archive.info/90/Aslib-1990-Taylor.pdf			159	
Session 5: Summary of the discussion		http://www.mt-archive.info/90/Aslib-1990-Sutton.pdf			173	
Biographical notes on speakers and chairs   		http://www.mt-archive.info/90/Aslib-1990-speakers.pdf			177	
List of participants 		http://www.mt-archive.info/90/Aslib-1990-participants.pdf			183	
