Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Catriona Picken	http://www.mt-archive.info/70/Aslib-1989-Picken.pdf			vii	
Managing translation projects using Project Manager Workbench	Brian Forsdick	http://www.mt-archive.info/70/Aslib-1989-Forsdick.pdf			3	
The Translator's Workbench Project	Patricia Thomas	http://www.mt-archive.info/70/Aslib-1989-Ahmad.pdf			9	
Problems in software translation and how to avoid them	Siegrun O'Sullivan	http://www.mt-archive.info/70/Aslib-1989-OSullivan.pdf			20	
Session 1: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1989-Dean.pdf			24	
Computer tools to improve the work of translators	Nigel Cassar	http://www.mt-archive.info/70/Aslib-1989-Cassar.pdf			29	
IFP terminological databases and the compiling of specialised dictionaries	G. Brace	http://www.mt-archive.info/70/Aslib-1989-Moureau.pdf			39	
The IMO terminology data bank	Nicole Walls	http://www.mt-archive.info/70/Aslib-1989-Walls.pdf			50	
Copyright, computers, dictionaries and translations	Jeremy Phillips	http://www.mt-archive.info/70/Aslib-1989-Phillips.pdf			59	
Session 2: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1989-Sneddon.pdf			63	
Hardware and software for desktop publishing	Howard Petrie	http://www.mt-archive.info/70/Aslib-1989-Petrie.pdf			69	
CD-ROM: what can it offer the translator?	Joan M. Day	http://www.mt-archive.info/70/Aslib-1989-Day.pdf			75	
The use of computer technology to store and redistribute voice as an aid to translation services	Fred McKenzie	http://www.mt-archive.info/70/Aslib-1989-McKenzie.pdf			79	
Session 3: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1989-Sutton.pdf			84	
Translation and republication of technical documents	Ron Fournier and Larry Rogers	http://www.mt-archive.info/70/Aslib-1989-Fournier.pdf			91	
METAL - machine translation in practice	Patrick Little	http://www.mt-archive.info/70/Aslib-1989-Little.pdf			94	
Session 4: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1989-discussion-4.pdf			108	
Speech recognition, artificial intelligence and translation: how rosy a future?	Henry Thompson	http://www.mt-archive.info/70/Aslib-1989-Thompson.pdf			113	
Session 5: Summary of the discussion 		http://www.mt-archive.info/70/Aslib-1989-Cordon.pdf			118	
Biographical notes on speakers and chairs		http://www.mt-archive.info/70/Aslib-1989-speakers.pdf				
List of participants		http://www.mt-archive.info/70/Aslib-1989-participants.pdf				
