Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Why Computers Do Not Translate Better	W. John Hutchins	http://www.mt-archive.info/90/Aslib-1991-Hutchins.pdf			3	
TEI-TERM: an SGML-based interchange format for terminology files The EuroTermBank	Alan Melby and Sue Ellen Wright	http://www.mt-archive.info/90/Aslib-1991-Melby.pdf			19	
The EuroTermBank	Paul Nekeman	http://www.mt-archive.info/90/Aslib-1991-Nekeman.pdf			39	
Dealing with Multiple Languages in the Computer Industry Computer Character Sets: their evolution and impact	John Clews	http://www.mt-archive.info/90/Aslib-1991-Clews.pdf			47	
Computer Character Sets: their evolution and impact	John Parry	http://www.mt-archive.info/90/Aslib-1991-Parry.pdf			61	
Software Localisation: a case history	Graham Bason	http://www.mt-archive.info/90/Aslib-1991-Bason.pdf			71	
On Evaluating MT Systems	Jacques Durand	http://www.mt-archive.info/90/Aslib-1991-Durand.pdf			81	
From Evaluation to Specification	R Lee Humphreys	http://www.mt-archive.info/90/Aslib-1991-Humphreys.pdf			93	
The Globalink Translation System - GTS SYSTRAN: or the reality of machine translation	Nigel Burnford	http://www.mt-archive.info/90/Aslib-1991-Burnford.pdf			107	
SYSTRAN: or the reality of machine translation	François Secheresse	http://www.mt-archive.info/90/Aslib-1991-Secheresse.pdf			113	
Alpnet and TSS: the commercial realities of using a computer-aided translation system	Thomas Seal	http://www.mt-archive.info/90/Aslib-1991-Seal.pdf			119	
Current Practical Machine Translation Systems in Japan and Future Directions EUROTRA: an assessment of the current state of the EC's MT programme	Makoto Nagao	http://www.mt-archive.info/90/Aslib-1991-Nagao.pdf			129	
EUROTRA: an assessment of the current state of the EC's MT programme Machine Translation Seen as Interactive Multilingual Text Generation	Doug Arnold and Louisa Sadler	http://www.mt-archive.info/90/Aslib-1991-Arnold.pdf			137	
Machine Translation Seen as Interactive Multilingual Text Generation 	Harold L Somers and Danny Jones	http://www.mt-archive.info/90/Aslib-1991-Somers.pdf			153	
