Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Catriona Picken	http://www.mt-archive.info/70/Aslib-1987-Picken.pdf			vii	
The three faces of Joyce: word processors and other hardware allegedly of use to translators	John Hayes	http://www.mt-archive.info/70/Aslib-1987-Hayes.pdf			3	
Translation tools on PC	Cay-Holger Stoll	http://www.mt-archive.info/70/Aslib-1987-Stoll.pdf			11	
Publish and be damned! Principle and practice of desktop publishing	Rainer Reisenberger	http://www.mt-archive.info/70/Aslib-1987-Reisenberger.pdf			27	
New ways to communicate: services provided by British Telecom	Malcolm Jones	http://www.mt-archive.info/70/Aslib-1987-Jones.pdf			56	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1987-discussion-1.pdf			68	
Machine translation: a threat or a promise?	Magnar Brekke and Roald Skarsten	http://www.mt-archive.info/70/Aslib-1987-Brekke.pdf			71	
Are you being served? User friendliness of CAT systems	Ulla Magnusson Murray	http://www.mt-archive.info/70/Aslib-1987-Magnusson-Murray.pdf			80	
The New Oxford English Dictionary Project	Timothy Benbow	http://www.mt-archive.info/70/Aslib-1987-Benbow.pdf			91	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1987-discussion-2.pdf			104	
New tasks for terminology	Professor Juan Sager	http://www.mt-archive.info/70/Aslib-1987-Sager.pdf			109	
A survey of termbanks worldwide	John McNaught	http://www.mt-archive.info/70/Aslib-1987-McNaught.pdf			112	
The Termium termbank: today and tomorrow	Alain Landry	http://www.mt-archive.info/70/Aslib-1987-Landry.pdf			130	
Classification systems for terminological databanks	Wolfgang Nedobity	http://www.mt-archive.info/70/Aslib-1987-Nedobity.pdf			145	
The LEXIS termbank	Erika Hoffmann	http://www.mt-archive.info/70/Aslib-1987-Hoffmann.pdf			154	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1987-discussion-3.pdf			161	
Pan-Arab and international cooperation in technical terminology	Dr Mahmoud Esmail Sieny	http://www.mt-archive.info/70/Aslib-1987-Sieny.pdf			167	
The Conference of Translation Services of West European States	Jean-Marie Timmermans	http://www.mt-archive.info/70/Aslib-1987-Timmermans.pdf			180	
Eurotra: past, present and future	Peter Lau	http://www.mt-archive.info/70/Aslib-1987-Lau.pdf			186	
Summary of the discussion		http://www.mt-archive.info/70/Aslib-1987-discussion-4.pdf			192	
Biographical notes on speakers and chairs		http://www.mt-archive.info/70/Aslib-1987-speakers.pdf			195	
List of participants  					199	
