Title	Authors	Pdf	Presentation	Volume_Name	Notes
Preface	I.D.K.Kelly	http://www.mt-archive.info/70/BCS-1984-preface.pdf			
Generations of MT systems: historical review and perspectives for the future	Peter Toma				
A basic survey of practical machine translation	Veronica Lawson	http://www.mt-archive.info/70/BCS-1984-Lawson.pdf			
Methods of linguistic analysis in machine translation	John Hutchins	http://www.mt-archive.info/70/BCS-1984-Hutchins.pdf			
Machine translation from designers to users: management problems and solutions.	Benoit Thouîn	http://www.mt-archive.info/70/BCS-1984-Thouin.pdf			abstract, full text not available
The difficulty of developing logical algorithms for the machine translation of natural language	Ian M.Pigott	http://www.mt-archive.info/70/BCS-1984-Pigott.pdf			
The nature of proof in machine translation	Margaret Masterman				
A frequency-mode device to assist in the machine translation of natural languages	Bill Williams				
Machine-aided translation and lexical strategies	Frank Knowles	http://www.mt-archive.info/70/BCS-1984-Knowles.pdf			abstract, full text not available
Searching single-word and multi-word dictionaries	F.J.Smith and K.Devine and P.Craig	http://www.mt-archive.info/70/BCS-1984-Smith.pdf			
A new dictionary structure for bi-directional MT system	Shiu-chang Loh and Luan Kong and Hing-sum Hung	http://www.mt-archive.info/70/BCS-1984-Loh.pdf			
Changes and improvements to the European Commisssion’s Systran system 1976/84	Peter J.Wheeler	http://www.mt-archive.info/70/BCS-1984-Wheeler.pdf			
Automatic integrated dictionary systems	J.Jelinek and J.Hawgood	http://www.mt-archive.info/70/BCS-1984-Jelinek.pdf			
A software system for describing a grammar of machine translation: GRADE	Jun-ichi Nakamura and Makoto Nagao	http://www.mt-archive.info/70/BCS-1984-Nakamura.pdf			abstract, full text not available
A micro-computer program for checking translation at sentence level	Brian Farrington	http://www.mt-archive.info/70/BCS-1984-Farrington.pdf			
SYNICS – a tool for translating natural language syntax	M.Roberts and E.A.Edmonds	http://www.mt-archive.info/70/BCS-1984-Roberts.pdf			
Production of sentences: a general algorithm and a case study	Giovanni Adorni and Lina Massone	http://www.mt-archive.info/70/BCS-1984-Adorni.pdf			
The generation of Chinese sentences from semantic representations of English sentences	Xiuming Huang	http://www.mt-archive.info/70/BCS-1984-Huang.pdf			
Machine translation of English into Persian	Homayoun Eman and Douglas Clarke				
Machine translation with post editing versus a three-level integrated translator aid system	Alan K.Melby	http://www.mt-archive.info/70/BCS-1984-Melby.pdf			
The grammatical tagging of unrestricted English text	Roger Garside and Geoffrey Leach and Eric Atwell	http://www.mt-archive.info/70/BCS-1984-Garside.pdf			
How to boldly split infinitives	Raphael Mankin	http://www.mt-archive.info/70/BCS-1984-Mankin.pdf			
What is the language of memory?	Peter Nwoye O.Mbaeyi	http://www.mt-archive.info/70/BCS-1984-Mbaeyi.pdf			abstract, full text not available
Application of SYSTRAN for translation of nuclear technology texts at the Nuclear Center of Karlsruhe	F.W.A.Habermann	http://www.mt-archive.info/70/BCS-1984-Habermann.pdf			
A generalized computer-assisted language translation model: English to Arabic – problems and solutions	Mamdouh Ibrahim				
Robust processing in machine translation	Doug Arnold and Rod Johnson	http://www.mt-archive.info/70/BCS-1984-Arnold.pdf			
Development of English-Spanish machine translation	Marjorie León	http://www.mt-archive.info/70/BCS-1984-Leon.pdf			
Control and data structures in the MT system SUSY-E	Heinz Dieter Maas	http://www.mt-archive.info/70/BCS-1984-Maas-abs.pdf			abstract, full text not available
The LOGOS system	Glenn Ransier				
TECM – translation of English into Chinese on a micro	Liu Shiao-shu	http://www.mt-archive.info/70/BCS-1984-Liu.pdf			
Notes on interactive translation	Deryle Lonsdale	http://www.mt-archive.info/70/BCS-1984-Lonsdale.pdf			
Recent Canadian experience in machine translation	Elliott Macklovitch	http://www.mt-archive.info/70/BCS-1984-Macklovitch.pdf			
Machine translation in the USSR	Yu.N.Marchuk	http://www.mt-archive.info/70/BCS-1984-Marchuk.pdf			
AMPAR and NERPA systems of machine translation: some specific features of software and technology	B.D.Tikhomirov	http://www.mt-archive.info/70/BCS-1984-Tikhomirov.pdf			
Distributed language translation, another MT system	A.P.M.Witkam	http://www.mt-archive.info/70/BCS-1984-Witkam.pdf			
Speech input and output technology	Raj Gunawardana				
Language or information: a new role for the translator	Birgit Rommel	http://www.mt-archive.info/70/BCS-1984-Rommel.pdf			
