Title	Authors	Pdf	Presentation	Volume_Name	Notes
Combining Semantic and Syntactic Generalization in Example-Based Machine Translation	Ebling, Sarah and Way, Andy and Volk, Martin and Naskar, Sudip Kumar	http://www.mt-archive.info/10/EAMT-2011-Ebling.pdf	http://www.mt-archive.info/10/EAMT-2011-Ebling-ppt.pdf		Research Papers
Apertium-IceNLP: A rule-based Icelandic to English machine translation system	Brandt, Martha Dís and Loftsson, Hrafh and Sigurþórsson, Hlynur and Tyers, Francis M.	http://www.mt-archive.info/10/EAMT-2011-Brandt.pdf	http://www.mt-archive.info/10/EAMT-2011-Brandt-ppt.pdf		Research Papers
From Statistical Term Extraction to Hybrid Machine Translation	Wolf, Petra and Bernardi, Ulrike and Federmann, Christian and Hunsicker, Sabine	http://www.mt-archive.info/10/EAMT-2011-Wolf.pdf	http://www.mt-archive.info/10/EAMT-2011-Wolf-ppt.pdf		Research Papers
Improving Machine Translation Quality Prediction with Syntactic Tree Kernels	Hardmeier, Christian	http://www.mt-archive.info/10/EAMT-2011-Hardmeier.pdf	http://www.mt-archive.info/10/EAMT-2011-Hardmeier-ppt.pdf		Research Papers
Minimum Error Rate Training Semiring	Sokolov, Artem and Yvon, François	http://www.mt-archive.info/10/EAMT-2011-Sokolov.pdf	http://www.mt-archive.info/10/EAMT-2011-Sokolov-ppt.pdf		Research Papers
Bootstrapping Arabic-Italian SMT through Comparable Texts and Pivot Translation	Cettolo, Mauro and Bertoldi, Nicola and Federico, Marcello	http://www.mt-archive.info/10/EAMT-2011-Cettolo.pdf	http://www.mt-archive.info/10/EAMT-2011-Cettolo-ppt.pdf		Research Papers
Bilingual segmentation for phrasetable pruning in Statistical Machine Translation	Sanchis-Trilles, Germán and Ortiz-Martínez, Daniel and González-Rubio, Jesús and González, Jorge	http://www.mt-archive.info/10/EAMT-2011-Sanchis-Trilles.pdf			Research Papers
From Human to Automatic Error Classification for Machine Translation Output	Popović, Maja and Burchardt, Aljoscha	http://www.mt-archive.info/10/EAMT-2011-Popovic.pdf	http://www.mt-archive.info/10/EAMT-2011-Popovic-ppt.pdf		Research Papers
Advancements in Arabic-to-English Hierarchical Machine Translation	Huck, Matthias and Vilar, David and Stein, Daniel and Ney, Hermann	http://www.mt-archive.info/10/EAMT-2011-Huck.pdf	http://www.mt-archive.info/10/EAMT-2011-Huck-ppt.pdf		Research Papers
CCG Contextual labels in Hierarchical Phrase-Based SMT	Almaghout, Hala and Jiang, Jie and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Almaghout.pdf	http://www.mt-archive.info/10/EAMT-2011-Almaghout-ppt.pdf		Research Papers
